* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
78.002930 -0.261 14.4270
78.369141 -0.382 13.6512
78.735352 -0.534 12.9296
79.101562 -0.716 12.3017
79.467773 -0.927 11.8724
79.833984 -1.157 11.6622
80.200195 -1.391 11.7226
80.566406 -1.622 12.0066
80.932617 -1.841 12.4879
81.298828 -2.047 13.1310
81.665039 -2.236 13.8995
82.031250 -2.410 14.7722
82.397461 -2.567 15.7277
82.763672 -2.708 16.7503
83.129883 -2.834 17.8265
83.496094 -2.943 18.9444
83.862305 -3.038 20.0941
84.228516 -3.118 21.2662
84.594727 -3.184 22.4537
84.960938 -3.236 23.6489
85.327148 -3.275 24.8458
85.693359 -3.300 26.0382
86.059570 -3.313 27.2199
86.425781 -3.313 28.3861
86.791992 -3.302 29.5311
87.158203 -3.279 30.6506
87.524414 -3.245 31.7399
87.890625 -3.200 32.7938
88.256836 -3.145 33.8088
88.623047 -3.081 34.7788
88.989258 -3.007 35.7013
89.355469 -2.924 36.5704
89.721680 -2.834 37.3831
90.087891 -2.736 38.1352
90.454102 -2.630 38.8213
90.820312 -2.519 39.4394
91.186523 -2.403 39.9818
91.552734 -2.281 40.4486
91.918945 -2.157 40.8317
92.285156 -2.030 41.1325
92.651367 -1.902 41.3454
93.017578 -1.775 41.4729
93.383789 -1.649 41.5150
93.750000 -1.526 41.4749
94.116211 -1.407 41.3560
94.482422 -1.292 41.1568
94.848633 -1.182 40.8816
95.214844 -1.078 40.5224
95.581055 -0.982 40.0886
95.947266 -0.895 39.5721
96.313477 -0.820 38.9905
96.679688 -0.758 38.3429
97.045898 -0.710 37.6510
97.412109 -0.678 36.9222
97.778320 -0.661 36.1745
98.144531 -0.659 35.4182
98.510742 -0.673 34.6671
98.876953 -0.701 33.9311
99.243164 -0.743 33.2221
99.609375 -0.799 32.5484
99.975586 -0.867 31.9203
100.341797 -0.945 31.3440
100.708008 -1.035 30.8273
101.074219 -1.132 30.3741
101.440430 -1.236 29.9892
101.806641 -1.346 29.6739
102.172852 -1.462 29.4298
102.539062 -1.579 29.2567
102.905273 -1.699 29.1531
103.271484 -1.820 29.1178
103.637695 -1.941 29.1471
104.003906 -2.060 29.2391
104.370117 -2.177 29.3880
104.736328 -2.292 29.5920
105.102539 -2.404 29.8440
105.468750 -2.511 30.1419
105.834961 -2.615 30.4790
106.201172 -2.715 30.8527
106.567383 -2.810 31.2573
106.933594 -2.901 31.6898
107.299805 -2.987 32.1456
107.666016 -3.068 32.6214
108.032227 -3.145 33.1142
108.398438 -3.218 33.6201
108.764648 -3.286 34.1373
109.130859 -3.350 34.6624
109.497070 -3.410 35.1943
109.863281 -3.467 35.7301
110.229492 -3.520 36.2690
110.595703 -3.569 36.8089
110.961914 -3.616 37.3485
111.328125 -3.660 37.8868
111.694336 -3.701 38.4219
112.060547 -3.739 38.9545
112.426758 -3.776 39.4820
112.792969 -3.811 40.0071
113.159180 -3.844 40.5287
113.525391 -3.876 41.0486
113.891602 -3.907 41.5685
114.257812 -3.936 42.0883
114.624023 -3.964 42.6090
114.990234 -3.990 43.1305
115.356445 -4.014 43.6520
115.722656 -4.037 44.1731
116.088867 -4.058 44.6933
116.455078 -4.078 45.2116
116.821289 -4.096 45.7279
117.187500 -4.112 46.2412
117.553711 -4.127 46.7515
117.919922 -4.141 47.2581
118.286133 -4.153 47.7608
118.652344 -4.164 48.2596
119.018555 -4.173 48.7539
119.384766 -4.182 49.2439
119.750977 -4.190 49.7293
120.117188 -4.196 50.2100
120.483398 -4.202 50.6863
120.849609 -4.206 51.1578
121.215820 -4.210 51.6248
121.582031 -4.213 52.0869
121.948242 -4.215 52.5445
122.314453 -4.217 52.9973
122.680664 -4.217 53.4453
123.046875 -4.217 53.8885
123.413086 -4.217 54.3268
123.779297 -4.215 54.7601
124.145508 -4.213 55.1882
124.511719 -4.210 55.6109
124.877930 -4.207 56.0282
125.244141 -4.204 56.4395
125.610352 -4.199 56.8450
125.976562 -4.194 57.2441
126.342773 -4.189 57.6367
126.708984 -4.184 58.0226
127.075195 -4.178 58.4013
127.441406 -4.172 58.7733
127.807617 -4.166 59.1376
128.173828 -4.160 59.4946
128.540039 -4.154 59.8446
128.906250 -4.149 60.1867
129.272461 -4.144 60.5224
129.638672 -4.139 60.8506
130.004883 -4.134 61.1722
130.371094 -4.131 61.4881
130.737305 -4.128 61.7978
131.103516 -4.126 62.1028
131.469727 -4.124 62.4034
131.835938 -4.124 62.6999
132.202148 -4.125 62.9941
132.568359 -4.127 63.2861
132.934570 -4.130 63.5769
133.300781 -4.135 63.8675
133.666992 -4.140 64.1588
134.033203 -4.147 64.4514
134.399414 -4.154 64.7466
134.765625 -4.163 65.0449
135.131836 -4.173 65.3469
135.498047 -4.184 65.6540
135.864258 -4.195 65.9661
136.230469 -4.207 66.2842
136.596680 -4.220 66.6094
136.962891 -4.234 66.9407
137.329102 -4.248 67.2798
137.695312 -4.262 67.6266
138.061523 -4.276 67.9802
138.427734 -4.291 68.3421
138.793945 -4.305 68.7115
139.160156 -4.320 69.0878
139.526367 -4.334 69.4722
139.892578 -4.348 69.8631
140.258789 -4.361 70.2608
140.625000 -4.374 70.6654
140.991211 -4.387 71.0754
141.357422 -4.398 71.4912
141.723633 -4.410 71.9124
142.089844 -4.420 72.3379
142.456055 -4.430 72.7679
142.822266 -4.440 73.2016
143.188477 -4.448 73.6388
143.554688 -4.456 74.0789
143.920898 -4.464 74.5220
144.287109 -4.471 74.9676
144.653320 -4.477 75.4155
145.019531 -4.482 75.8656
145.385742 -4.487 76.3177
145.751953 -4.492 76.7717
146.118164 -4.496 77.2277
146.484375 -4.500 77.6856
146.850586 -4.503 78.1454
147.216797 -4.506 78.6074
147.583008 -4.509 79.0717
147.949219 -4.511 79.5383
148.315430 -4.513 80.0079
148.681641 -4.514 80.4806
149.047852 -4.516 80.9567
149.414062 -4.517 81.4365
149.780273 -4.518 81.9207
150.146484 -4.518 82.4094
150.512695 -4.518 82.9027
150.878906 -4.518 83.4016
151.245117 -4.517 83.9060
151.611328 -4.516 84.4158
151.977539 -4.514 84.9324
152.343750 -4.511 85.4553
152.709961 -4.508 85.9846
153.076172 -4.504 86.5214
153.442383 -4.499 87.0654
153.808594 -4.494 87.6160
154.174805 -4.487 88.1750
154.541016 -4.479 88.7417
154.907227 -4.470 89.3153
155.273438 -4.459 89.8978
155.639648 -4.447 90.4886
156.005859 -4.433 91.0862
156.372070 -4.418 91.6935
156.738281 -4.401 92.3097
157.104492 -4.381 92.9318
157.470703 -4.359 93.5632
157.836914 -4.335 94.2030
158.203125 -4.307 94.8459
158.569336 -4.276 95.4934
158.935547 -4.242 96.1444
159.301758 -4.205 96.7947
159.667969 -4.164 97.4410
160.034180 -4.119 98.0821
160.400391 -4.072 98.7176
160.766602 -4.021 99.3443
161.132812 -3.967 99.9604
161.499023 -3.911 100.5666
161.865234 -3.852 101.1629
162.231445 -3.791 101.7475
162.597656 -3.727 102.3205
162.963867 -3.661 102.8824
163.330078 -3.592 103.4320
163.696289 -3.522 103.9691
164.062500 -3.449 104.4933
164.428711 -3.374 105.0040
164.794922 -3.297 105.5005
165.161133 -3.217 105.9826
165.527344 -3.136 106.4491
165.893555 -3.052 106.8994
166.259766 -2.967 107.3332
166.625977 -2.879 107.7497
166.992188 -2.790 108.1475
167.358398 -2.699 108.5266
167.724609 -2.606 108.8863
168.090820 -2.511 109.2248
168.457031 -2.415 109.5417
168.823242 -2.317 109.8372
169.189453 -2.218 110.1088
169.555664 -2.117 110.3555
169.921875 -2.015 110.5778
170.288086 -1.912 110.7737
170.654297 -1.808 110.9408
171.020508 -1.703 111.0797
171.386719 -1.596 111.1891
171.752930 -1.490 111.2646
172.119141 -1.383 111.3057
172.485352 -1.275 111.3149
172.851562 -1.168 111.2828
173.217773 -1.061 111.2069
173.583984 -0.957 111.0949
173.950195 -0.852 110.9395
174.316406 -0.751 110.7301
174.682617 -0.654 110.4738
175.048828 -0.561 110.1848
175.415039 -0.473 109.8471
175.781250 -0.392 109.4623
176.147461 -0.321 109.0507
176.513672 -0.257 108.6223
176.879883 -0.201 108.1784
177.246094 -0.153 107.7244
177.612305 -0.115 107.2725
177.978516 -0.086 106.8411
178.344727 -0.062 106.4344
178.710938 -0.043 106.0407
179.077148 -0.030 105.6702
179.443359 -0.021 105.3334
179.809570 -0.014 105.0251
180.175781 -0.009 104.7312
180.541992 -0.006 104.4602
180.908203 -0.004 104.2124
181.274414 -0.002 103.9797
181.640625 -0.001 103.7585
182.006836 -0.001 103.5503
182.373047 -0.001 103.3529
182.739258 -0.000 103.1623
183.105469 -0.000 102.9775
183.471680 -0.000 102.7974
183.837891 -0.000 102.6206
184.204102 -0.000 102.4449
184.570312 -0.000 102.2686
184.936523 -0.001 102.0906
185.302734 -0.001 101.9105
185.668945 -0.001 101.7244
186.035156 -0.002 101.5296
186.401367 -0.004 101.3267
186.767578 -0.006 101.1164
187.133789 -0.008 100.8888
187.500000 -0.013 100.6419
187.866211 -0.021 100.3832
188.232422 -0.029 100.1109
188.598633 -0.041 99.8122
188.964844 -0.058 99.4894
189.331055 -0.081 99.1603
189.697266 -0.109 98.8237
190.063477 -0.143 98.4754
190.429688 -0.184 98.1216
190.795898 -0.235 97.7786
191.162109 -0.293 97.4591
191.528320 -0.358 97.1687
191.894531 -0.428 96.9066
192.260742 -0.505 96.6740
192.626953 -0.588 96.4924
192.993164 -0.674 96.3663
193.359375 -0.762 96.2836
193.725586 -0.852 96.2386
194.091797 -0.944 96.2461
194.458008 -1.036 96.3060
194.824219 -1.127 96.4044
195.190430 -1.217 96.5382
195.556641 -1.306 96.7125
195.922852 -1.393 96.9255
196.289062 -1.478 97.1679
196.655273 -1.561 97.4385
197.021484 -1.642 97.7380
197.387695 -1.720 98.0643
197.753906 -1.795 98.4125
198.120117 -1.868 98.7818
198.486328 -1.938 99.1713
198.852539 -2.006 99.5795
199.218750 -2.070 100.0038
199.584961 -2.133 100.4433
199.951172 -2.192 100.8968
200.317383 -2.249 101.3634
200.683594 -2.303 101.8414
201.049805 -2.354 102.3300
201.416016 -2.403 102.8279
201.782227 -2.449 103.3344
202.148438 -2.492 103.8490
202.514648 -2.533 104.3703
202.880859 -2.571 104.8974
203.247070 -2.607 105.4299
203.613281 -2.641 105.9673
203.979492 -2.672 106.5086
204.345703 -2.701 107.0529
204.711914 -2.727 107.5998
205.078125 -2.752 108.1494
205.444336 -2.774 108.7005
205.810547 -2.793 109.2522
206.176758 -2.811 109.8044
206.542969 -2.827 110.3573
206.909180 -2.840 110.9098
207.275391 -2.852 111.4610
207.641602 -2.862 112.0109
208.007812 -2.870 112.5600
208.374023 -2.876 113.1072
208.740234 -2.880 113.6518
209.106445 -2.882 114.1936
209.472656 -2.883 114.7333
209.838867 -2.883 115.2702
210.205078 -2.880 115.8033
210.571289 -2.876 116.3327
210.937500 -2.871 116.8589
211.303711 -2.864 117.3815
211.669922 -2.856 117.8996
212.036133 -2.847 118.4131
212.402344 -2.836 118.9226
212.768555 -2.824 119.4280
213.134766 -2.810 119.9283
213.500977 -2.796 120.4235
213.867188 -2.780 120.9139
214.233398 -2.763 121.3998
214.599609 -2.746 121.8804
214.965820 -2.727 122.3555
215.332031 -2.707 122.8252
215.698242 -2.686 123.2903
216.064453 -2.665 123.7498
216.430664 -2.642 124.2035
216.796875 -2.619 124.6516
217.163086 -2.594 125.0947
217.529297 -2.570 125.5323
217.895508 -2.544 125.9640
218.261719 -2.517 126.3898
218.627930 -2.490 126.8103
218.994141 -2.463 127.2254
219.360352 -2.434 127.6346
219.726562 -2.405 128.0378
220.092773 -2.376 128.4354
220.458984 -2.346 128.8277
220.825195 -2.315 129.2142
221.191406 -2.284 129.5948
221.557617 -2.252 129.9696
221.923828 -2.220 130.3391
222.290039 -2.188 130.7031
222.656250 -2.155 131.0612
223.022461 -2.122 131.4136
223.388672 -2.088 131.7606
223.754883 -2.054 132.1023
224.121094 -2.020 132.4383
224.487305 -1.985 132.7687
224.853516 -1.951 133.0935
225.219727 -1.916 133.4132
225.585938 -1.880 133.7274
225.952148 -1.845 134.0361
226.318359 -1.809 134.3392
226.684570 -1.773 134.6372
227.050781 -1.737 134.9300
227.416992 -1.701 135.2175
227.783203 -1.664 135.4994
228.149414 -1.628 135.7762
228.515625 -1.591 136.0479
228.881836 -1.554 136.3144
229.248047 -1.517 136.5755
229.614258 -1.480 136.8315
229.980469 -1.443 137.0824
230.346680 -1.405 137.3283
230.712891 -1.368 137.5690
231.079102 -1.331 137.8045
231.445312 -1.293 138.0348
231.811523 -1.256 138.2601
232.177734 -1.218 138.4802
232.543945 -1.180 138.6951
232.910156 -1.143 138.9047
233.276367 -1.105 139.1091
233.642578 -1.067 139.3082
234.008789 -1.029 139.5019
234.375000 -0.992 139.6901
234.741211 -0.954 139.8728
235.107422 -0.916 140.0499
235.473633 -0.878 140.2212
235.839844 -0.840 140.3864
236.206055 -0.803 140.5454
236.572266 -0.765 140.6982
236.938477 -0.727 140.8447
237.304688 -0.689 140.9839
237.670898 -0.651 141.1154
238.037109 -0.614 141.2393
238.403320 -0.576 141.3562
238.769531 -0.539 141.4651
239.135742 -0.502 141.5638
239.501953 -0.465 141.6520
239.868164 -0.429 141.7304
240.234375 -0.393 141.8020
240.600586 -0.358 141.8631
240.966797 -0.323 141.9113
241.333008 -0.290 141.9467
241.699219 -0.259 141.9721
242.065430 -0.229 141.9921
242.431641 -0.200 142.0034
242.797852 -0.173 142.0050
243.164062 -0.148 141.9980
243.530273 -0.126 141.9853
243.896484 -0.106 141.9714
244.262695 -0.088 141.9578
244.628906 -0.073 141.9456
244.995117 -0.059 141.9355
245.361328 -0.047 141.9266
245.727539 -0.037 141.9212
246.093750 -0.030 141.9238
246.459961 -0.023 141.9356
246.826172 -0.018 141.9561
247.192383 -0.013 141.9814
247.558594 -0.010 142.0121
247.924805 -0.008 142.0513
248.291016 -0.006 142.0995
248.657227 -0.004 142.1558
249.023438 -0.003 142.2168
249.389648 -0.002 142.2827
249.755859 -0.002 142.3545
250.122070 -0.001 142.4323
250.488281 -0.001 142.5155
250.854492 -0.001 142.6024
251.220703 -0.000 142.6930
251.586914 -0.000 142.7874
251.953125 -0.000 142.8856
252.319336 -0.000 142.9871
252.685547 -0.000 143.0915
253.051758 -0.000 143.1986
253.417969 -0.000 143.3083
253.784180 -0.000 143.4205
254.150391 -0.000 143.5351
254.516602 -0.000 143.6518
254.882812 -0.000 143.7705
255.249023 0.000 143.8912
255.615234 -0.000 144.0138
255.981445 0.000 144.1381
256.347656 0.000 144.2641
256.713867 0.000 144.3917
257.080078 0.000 144.5207
257.446289 0.000 144.6513
257.812500 0.000 144.7833
258.178711 0.000 144.9166
258.544922 0.000 145.0512
258.911133 0.000 145.1870
259.277344 0.000 145.3241
259.643555 0.000 145.4622
260.009766 0.000 145.6015
260.375977 0.000 145.7418
260.742188 0.000 145.8832
261.108398 0.000 146.0256
261.474609 0.000 146.1688
261.840820 0.000 146.3131
262.207031 0.000 146.4582
262.573242 0.000 146.6042
262.939453 0.000 146.7511
263.305664 0.000 146.8988
263.671875 0.000 147.0472
264.038086 0.000 147.1964
264.404297 0.000 147.3463
264.770508 0.000 147.4970
265.136719 0.000 147.6484
265.502930 0.000 147.8004
265.869141 0.000 147.9531
266.235352 0.000 148.1065
266.601562 0.000 148.2604
266.967773 0.000 148.4150
267.333984 0.000 148.5701
267.700195 0.000 148.7258
268.066406 0.000 148.8821
268.432617 0.000 149.0390
268.798828 0.000 149.1963
269.165039 0.000 149.3542
269.531250 0.000 149.5125
269.897461 0.000 149.6714
270.263672 0.000 149.8307
270.629883 0.000 149.9905
270.996094 0.000 150.1507
271.362305 0.000 150.3114
271.728516 0.000 150.4725
272.094727 0.000 150.6341
272.460938 0.000 150.7960
272.827148 0.000 150.9583
273.193359 0.000 151.1210
273.559570 0.000 151.2842
273.925781 0.000 151.4476
274.291992 0.000 151.6115
274.658203 0.000 151.7757
275.024414 0.000 151.9402
275.390625 0.000 152.1050
275.756836 0.000 152.2702
276.123047 0.000 152.4357
276.489258 0.000 152.6016
276.855469 0.000 152.7677
277.221680 0.000 152.9342
277.587891 0.000 153.1009
277.954102 0.000 153.2679
278.320312 0.000 153.4352
278.686523 0.000 153.6027
279.052734 0.000 153.7706
279.418945 0.000 153.9387
279.785156 0.000 154.1070
280.151367 0.000 154.2756
280.517578 0.000 154.4444
280.883789 0.000 154.6135
281.250000 0.000 154.7827
281.616211 0.000 154.9523
281.982422 0.000 155.1220
282.348633 0.000 155.2920
282.714844 0.000 155.4621
283.081055 0.000 155.6325
283.447266 0.000 155.8031
283.813477 0.000 155.9739
284.179688 0.000 156.1448
284.545898 0.000 156.3160
284.912109 0.000 156.4873
285.278320 0.000 156.6588
285.644531 0.000 156.8305
286.010742 0.000 157.0024
286.376953 0.000 157.1744
286.743164 0.000 157.3466
287.109375 0.000 157.5189
287.475586 0.000 157.6914
287.841797 0.000 157.8640
288.208008 0.000 158.0369
288.574219 0.000 158.2098
288.940430 0.000 158.3828
289.306641 0.000 158.5560
289.672852 0.000 158.7294
290.039062 0.000 158.9029
290.405273 0.000 159.0765
290.771484 0.000 159.2502
291.137695 0.000 159.4241
291.503906 0.000 159.5980
291.870117 0.000 159.7721
292.236328 0.000 159.9463
292.602539 0.000 160.1206
292.968750 0.000 160.2950
293.334961 0.000 160.4695
293.701172 0.000 160.6441
294.067383 0.000 160.8188
294.433594 0.000 160.9935
294.799805 0.000 161.1684
295.166016 0.000 161.3434
295.532227 0.000 161.5185
295.898438 0.000 161.6936
296.264648 0.000 161.8688
296.630859 0.000 162.0441
296.997070 0.000 162.2195
297.363281 0.000 162.3949
297.729492 0.000 162.5704
298.095703 0.000 162.7460
298.461914 0.000 162.9217
298.828125 0.000 163.0974
299.194336 0.000 163.2732
299.560547 0.000 163.4490
299.926758 0.000 163.6249
300.292969 0.000 163.8008
300.659180 0.000 163.9768
301.025391 0.000 164.1529
301.391602 0.000 164.3290
