* Generated by rew_pipeline.py (source UUID a5e9af94-77a9-4614-b030-74790d74babe, calibrated to its own SPL at 100 Hz)
* Measurement: L.nofdw.clean-fdw8
* Dated: 2026-Sep-12 16:09:58
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
71.044922 67.828 9.1958
71.411133 67.375 -126.0370
71.777344 65.701 95.7487
72.143555 65.292 -40.5031
72.509766 64.097 -176.6881
72.875977 62.369 48.9497
73.242188 61.039 -93.8095
73.608398 59.626 123.5493
73.974609 55.156 -54.8827
74.340820 56.814 145.2937
74.707031 59.578 -30.3011
75.073242 63.418 164.3507
75.439453 65.329 20.5010
75.805664 67.038 -123.3506
76.171875 68.965 98.8295
76.538086 69.911 -40.2750
76.904297 71.234 -176.6013
77.270508 71.383 47.5821
77.636719 73.134 -85.9370
78.002930 74.132 141.9261
78.369141 74.772 3.8395
78.735352 75.692 -128.9595
79.101562 76.677 99.4763
79.467773 78.420 -33.1716
79.833984 80.283 -169.1120
80.200195 81.780 51.4959
80.566406 82.988 -89.8063
80.932617 83.791 128.9238
81.298828 84.563 -13.7648
81.665039 84.888 -155.8125
82.031250 84.893 62.9528
82.397461 84.982 -77.6910
82.763672 84.835 142.1057
83.129883 84.515 3.1876
83.496094 84.110 -135.1503
83.862305 83.594 88.4134
84.228516 82.912 -48.5947
84.594727 82.457 176.6644
84.960938 81.988 45.3277
85.327148 81.632 -87.6999
85.693359 81.691 140.5504
86.059570 81.964 7.4421
86.425781 82.155 -125.9057
86.791992 82.580 97.8370
87.158203 82.720 -37.1737
87.524414 82.658 -173.2377
87.890625 82.716 50.5148
88.256836 82.503 -85.1631
88.623047 82.399 138.4493
88.989258 82.204 3.2093
89.355469 81.896 -136.4590
89.721680 81.679 90.3213
90.087891 81.351 -44.0305
90.454102 81.140 -175.5033
90.820312 81.095 47.3372
91.186523 81.182 -90.4693
91.552734 80.881 132.7656
91.918945 80.539 -7.5168
92.285156 79.689 -142.4376
92.651367 78.706 77.3592
93.017578 77.058 -61.0134
93.383789 75.472 168.0623
93.750000 73.754 38.3795
94.116211 72.914 -91.3698
94.482422 71.525 143.9243
94.848633 70.430 11.6605
95.214844 69.507 -112.9245
95.581055 69.296 125.2205
95.947266 68.455 -0.5589
96.313477 68.700 -128.3623
96.679688 68.742 105.8532
97.045898 68.951 -26.9691
97.412109 68.441 -154.0545
97.778320 68.052 81.5392
98.144531 68.814 -37.9262
98.510742 68.956 -167.1412
98.876953 69.655 68.0257
99.243164 70.608 -62.8140
99.609375 71.240 166.8432
99.975586 71.739 36.2779
