* Generated by rew_pipeline.py (source UUID f0175bf7-856b-4f82-b8d3-e215cf908451, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:02
* Note: ; Vector average of L.filtered.clean-fdw8, R.filtered.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
37.536621 73.344 179.6411
37.719727 72.754 112.2160
37.902832 72.141 45.5652
38.085938 71.578 -20.1617
38.269043 71.083 -85.5721
38.452148 70.618 -150.6566
38.635254 70.164 144.3524
38.818359 69.714 79.8264
39.001465 69.344 15.3779
39.184570 69.032 -49.2044
39.367676 68.777 -114.3770
39.550781 68.464 -179.7696
39.733887 68.134 115.2259
39.916992 67.811 51.1803
40.100098 67.663 -12.0045
40.283203 67.661 -75.3238
40.466309 67.738 -139.3398
40.649414 67.695 155.8701
40.832520 67.517 91.3850
41.015625 67.259 27.6331
41.198730 67.118 -35.1349
41.381836 67.161 -98.2346
41.564941 67.314 -161.9879
41.748047 67.451 133.6038
41.931152 67.550 69.9085
42.114258 67.744 7.0344
42.297363 68.094 -55.4378
42.480469 68.534 -118.8844
42.663574 68.824 176.8632
42.846680 68.912 112.6310
43.029785 68.899 49.5474
43.212891 69.115 -13.0355
43.395996 69.629 -77.3007
43.579102 70.277 -144.8992
43.762207 70.751 144.5836
43.945312 70.970 73.0062
44.128418 70.973 2.1787
44.311523 70.987 -66.5030
44.494629 71.231 -133.6980
44.677734 71.732 158.9964
44.860840 72.262 90.0697
45.043945 72.554 19.9217
45.227051 72.520 -50.4925
45.410156 72.210 -119.8992
45.593262 71.850 172.1374
45.776367 71.609 105.0733
45.959473 71.550 37.7574
46.142578 71.504 -30.3643
46.325684 71.361 -98.6484
46.508789 71.076 -166.3458
46.691895 70.751 127.0223
46.875000 70.437 60.6225
47.058105 70.073 -6.2440
47.241211 69.496 -73.9108
47.424316 68.597 -141.0659
47.607422 67.502 153.8434
47.790527 66.578 92.1364
47.973633 66.302 31.8876
48.156738 66.567 -29.9644
48.339844 66.960 -94.3151
48.522949 67.139 -159.2703
48.706055 67.163 136.9762
48.889160 67.176 74.9394
49.072266 67.355 13.5534
49.255371 67.577 -48.4745
49.438477 67.761 -111.0536
49.621582 67.912 -173.6422
49.804688 68.276 123.7769
49.987793 68.951 59.5279
50.170898 69.830 -7.5386
50.354004 70.654 -77.4521
50.537109 71.265 -148.7006
50.720215 71.622 140.0591
50.903320 71.782 70.1640
51.086426 71.907 1.8108
51.269531 72.108 -65.6123
51.452637 72.405 -133.4611
51.635742 72.641 157.5466
51.818848 72.707 87.6353
52.001953 72.541 17.6628
52.185059 72.251 -51.3198
52.368164 72.002 -119.0004
52.551270 71.975 174.1505
52.734375 72.163 106.7806
52.917480 72.417 38.3702
53.100586 72.572 -30.9647
53.283691 72.550 -100.3181
53.466797 72.399 -169.1457
53.649902 72.203 122.8438
53.833008 72.073 55.2072
54.016113 72.008 -12.6343
54.199219 71.983 -81.0787
54.382324 71.906 -150.1354
54.565430 71.754 140.5710
54.748535 71.492 71.3368
54.931641 71.156 2.6529
55.114746 70.790 -65.4519
55.297852 70.469 -132.9757
55.480957 70.236 159.3339
55.664062 70.038 91.0316
55.847168 69.782 21.8498
56.030273 69.357 -47.4411
56.213379 68.812 -115.8361
56.396484 68.291 177.4903
56.579590 68.070 111.8765
56.762695 68.150 45.2987
56.945801 68.313 -23.4598
57.128906 68.238 -93.9518
57.312012 67.828 -164.2184
57.495117 67.205 127.5004
57.678223 66.765 62.1194
57.861328 66.861 -2.7906
58.044434 67.350 -70.1388
58.227539 67.822 -140.8255
58.410645 67.989 146.8432
58.593750 67.869 74.6477
58.776855 67.611 3.9763
58.959961 67.517 -65.1906
59.143066 67.692 -134.2518
59.326172 68.058 155.6395
59.509277 68.393 84.3484
59.692383 68.608 12.9866
59.875488 68.734 -57.7107
60.058594 68.895 -127.2397
60.241699 69.214 163.7251
