* Generated by rew_pipeline.py (source UUID dfb65ea2-0ad3-4047-a78a-47ab03241470, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:00
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw8 B = FLX-trimmed.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
36.254883 79.475 -50.8215
36.437988 79.247 -121.0501
36.621094 78.893 169.0139
36.804199 78.485 99.5316
36.987305 78.082 30.2708
37.170410 77.680 -39.1022
37.353516 77.219 -108.5917
37.536621 76.647 -177.7601
37.719727 75.968 113.9716
37.902832 75.243 46.8692
38.085938 74.523 -19.3298
38.269043 73.795 -85.0757
38.452148 73.010 -150.4252
38.635254 72.188 145.0066
38.818359 71.466 81.3479
39.001465 70.984 17.7920
39.184570 70.711 -46.8081
39.367676 70.473 -112.5775
39.550781 70.148 -178.4300
39.733887 69.774 116.9026
39.916992 69.499 53.6902
40.100098 69.385 -9.0429
40.283203 69.310 -72.2593
40.466309 69.121 -135.8205
40.649414 68.821 160.9931
40.832520 68.558 98.2579
41.015625 68.436 35.0322
41.198730 68.378 -29.4129
41.381836 68.260 -94.3947
41.564941 68.115 -158.3021
41.748047 68.169 139.7207
41.931152 68.603 78.4735
42.114258 69.255 16.0823
42.297363 69.782 -47.6267
42.480469 70.007 -111.2954
42.663574 70.027 -173.5952
42.846680 70.113 125.3230
43.029785 70.424 63.5550
43.212891 70.838 -0.6759
43.395996 71.159 -67.4632
43.579102 71.329 -135.7556
43.762207 71.437 155.5956
43.945312 71.616 87.2276
44.128418 71.928 19.1602
44.311523 72.325 -48.8463
44.494629 72.687 -116.8855
44.677734 72.911 175.1595
44.860840 72.938 107.4705
45.043945 72.755 40.2090
45.227051 72.381 -26.4490
45.410156 71.868 -92.2542
45.593262 71.301 -156.8890
45.776367 70.788 139.9845
45.959473 70.459 78.6846
46.142578 70.481 19.2675
46.325684 71.030 -39.1848
46.508789 72.109 -98.7491
46.691895 73.452 -161.1169
46.875000 74.724 133.6429
47.058105 75.735 66.5246
47.241211 76.465 -1.3574
47.424316 77.008 -69.3115
47.607422 77.495 -137.2953
47.790527 78.000 154.2622
47.973633 78.500 85.0404
48.156738 78.922 15.2795
48.339844 79.228 -54.3110
48.522949 79.455 -123.0229
48.706055 79.699 169.3234
48.889160 80.034 102.1762
49.072266 80.439 34.7091
49.255371 80.825 -33.4633
