* Measurement data measured by REW V5.40 beta 135
* Source: EQ window target shape
* Format: 
* Dated: Sep 11, 2026, 1:41:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS.AVG
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
27.878765 75.899
28.080786 75.898
28.284271 75.897
28.489231 75.896
28.695675 75.895
28.903616 75.893
29.113064 75.892
29.324029 75.891
29.536523 75.889
29.750557 75.888
29.966142 75.887
30.183289 75.886
30.402009 75.884
30.622315 75.883
30.844217 75.882
31.067726 75.880
31.292856 75.878
31.519617 75.876
31.748021 75.875
31.978080 75.873
32.209807 75.872
32.443212 75.870
32.678309 75.868
32.915110 75.867
33.153626 75.865
33.393871 75.863
33.635857 75.861
33.879596 75.859
34.125101 75.857
34.372386 75.854
34.621462 75.852
34.872344 75.850
35.125043 75.848
35.379574 75.846
35.635949 75.843
35.894182 75.841
36.154286 75.838
36.416274 75.836
36.680162 75.833
36.945961 75.830
37.213687 75.828
37.483353 75.825
37.754973 75.822
38.028561 75.819
38.304131 75.816
38.581699 75.813
38.861278 75.810
39.142882 75.806
39.426528 75.803
39.712229 75.800
40.000000 75.796
40.289856 75.793
40.581813 75.789
40.875886 75.786
41.172089 75.782
41.470439 75.778
41.770951 75.774
42.073641 75.770
42.378524 75.766
42.685616 75.762
42.994934 75.757
43.306493 75.753
43.620309 75.749
43.936400 75.744
44.254781 75.739
44.575470 75.734
44.898482 75.729
45.223835 75.724
45.551545 75.719
45.881631 75.714
46.214108 75.709
46.548994 75.703
46.886308 75.697
47.226065 75.691
47.568285 75.686
47.912984 75.680
48.260181 75.673
48.609894 75.667
48.962142 75.661
49.316942 75.654
49.674312 75.647
50.034273 75.641
50.396842 75.633
50.762038 75.626
51.129881 75.619
51.500389 75.612
51.873582 75.604
52.249480 75.596
52.628101 75.588
53.009466 75.581
53.393594 75.572
53.780506 75.563
54.170222 75.555
54.562762 75.546
54.958146 75.537
55.356395 75.527
55.757531 75.518
56.161573 75.509
56.568542 75.499
56.978461 75.489
57.391351 75.478
57.807232 75.468
58.226127 75.457
58.648058 75.446
59.073046 75.435
59.501113 75.424
59.932283 75.412
60.366577 75.401
60.804018 75.389
61.244629 75.377
61.688433 75.364
62.135453 75.351
62.585712 75.338
63.039234 75.325
63.496042 75.312
63.956161 75.298
64.419613 75.284
64.886424 75.270
65.356618 75.255
65.830219 75.240
66.307252 75.225
66.787742 75.210
67.271713 75.194
67.759192 75.178
68.250203 75.162
68.744772 75.146
69.242925 75.129
69.744688 75.112
70.250086 75.095
70.759147 75.077
71.271897 75.059
71.788363 75.040
72.308571 75.022
72.832549 75.003
73.360323 74.984
73.891923 74.964
74.427374 74.945
74.966705 74.925
75.509945 74.904
76.057121 74.883
76.608262 74.862
77.163398 74.841
77.722555 74.819
78.285765 74.797
78.853056 74.774
79.424458 74.752
80.000000 74.728
80.579713 74.705
81.163627 74.681
81.751772 74.658
82.344179 74.633
82.940879 74.608
83.541903 74.583
84.147282 74.558
84.757048 74.532
85.371232 74.506
85.989867 74.480
86.612985 74.453
87.240619 74.426
87.872800 74.399
88.509563 74.371
89.150939 74.344
89.796964 74.315
90.447670 74.287
91.103091 74.258
91.763261 74.229
92.428216 74.199
93.097989 74.169
93.772615 74.139
94.452130 74.109
95.136569 74.078
95.825968 74.047
96.520362 74.016
97.219789 73.985
97.924283 73.953
98.633883 73.921
99.348625 73.890
100.068546 73.858
100.793684 73.825
101.524077 73.792
102.259762 73.758
103.000778 73.725
103.747164 73.692
104.498959 73.658
105.256202 73.625
106.018931 73.591
106.787188 73.557
107.561012 73.522
108.340444 73.488
109.125523 73.453
109.916292 73.418
110.712791 73.383
111.515061 73.348
112.323145 73.313
113.137085 73.278
113.956923 73.243
114.782702 73.208
115.614465 73.172
116.452255 73.137
117.296116 73.101
118.146092 73.066
119.002227 73.030
119.864566 72.995
120.733154 72.959
121.608036 72.923
122.489258 72.888
123.376866 72.852
124.270906 72.817
125.171424 72.782
126.078468 72.746
126.992084 72.711
127.912321 72.676
128.839227 72.641
129.772849 72.606
130.713236 72.571
131.660438 72.536
132.614504 72.501
133.575483 72.467
134.543426 72.432
135.518384 72.398
136.500406 72.364
137.489544 72.330
138.485850 72.297
139.489375 72.264
140.500173 72.230
141.518295 72.197
142.543795 72.164
143.576726 72.132
144.617142 72.099
145.665098 72.067
146.720647 72.035
147.783845 72.003
148.854748 71.972
149.933411 71.941
151.019890 71.910
152.114242 71.879
153.216525 71.849
154.326795 71.818
155.445111 71.789
156.571530 71.759
157.706112 71.730
158.848915 71.700
160.000000 71.672
161.159426 71.644
162.327254 71.616
163.503544 71.588
164.688358 71.561
165.881758 71.534
167.083805 71.507
168.294563 71.480
169.514095 71.454
170.742464 71.428
171.979734 71.403
173.225970 71.377
174.481237 71.353
175.745600 71.328
177.019125 71.304
178.301879 71.280
179.593928 71.257
180.895339 71.234
182.206182 71.211
183.526523 71.188
184.856431 71.166
186.195977 71.144
187.545230 71.123
188.904260 71.101
190.273138 71.081
191.651936 71.060
193.040725 71.040
194.439578 71.019
195.848567 71.000
197.267766 70.981
198.697250 70.962
200.137092 70.943
201.587368 70.925
203.048153 70.907
204.519524 70.889
206.001557 70.872
207.494329 70.855
208.997918 70.838
210.512403 70.821
212.037863 70.805
213.574377 70.789
215.122025 70.774
216.680888 70.758
218.251047 70.743
219.832584 70.728
221.425581 70.713
223.030122 70.698
224.646290 70.684
226.274170 70.671
227.913846 70.657
229.565404 70.644
231.228929 70.631
232.904509 70.619
234.592231 70.606
236.292183 70.594
238.004454 70.581
239.729132 70.570
241.466308 70.558
243.216073 70.547
244.978517 70.536
246.753732 70.525
248.541811 70.514
250.342848 70.503
252.156935 70.493
253.984168 70.483
255.824642 70.473
257.678453 70.463
259.545697 70.454
261.426473 70.445
263.320877 70.435
265.229008 70.426
267.150967 70.417
269.086853 70.409
271.036767 70.401
273.000811 70.392
274.979088 70.384
276.971700 70.376
278.978751 70.369
281.000346 70.361
283.036590 70.354
285.087590 70.346
287.153452 70.339
289.234284 70.332
291.330195 70.326
293.441294 70.319
295.567690 70.313
297.709496 70.307
299.866821 70.301
302.039780 70.295
304.228485 70.289
306.433050 70.283
308.653590 70.277
310.890221 70.271
313.143060 70.266
315.412224 70.260
317.697831 70.255
320.000000 70.250
322.318852 70.245
324.654507 70.240
327.007088 70.235
329.376716 70.231
331.763515 70.226
334.167610 70.222
336.589127 70.218
339.028190 70.213
341.484928 70.209
343.959469 70.205
346.451941 70.202
348.962474 70.198
351.491200 70.194
354.038251 70.190
356.603758 70.187
359.187855 70.183
361.790679 70.180
364.412363 70.176
367.053045 70.173
369.712863 70.170
372.391955 70.166
375.090460 70.163
377.808521 70.160
380.546277 70.157
383.303872 70.154
386.081450 70.152
388.879155 70.149
391.697134 70.146
394.535533 70.143
397.394500 70.141
400.274184 70.138
403.174736 70.136
406.096306 70.134
409.039048 70.131
412.003113 70.129
414.988657 70.127
417.995836 70.125
421.024807 70.122
424.075726 70.120
427.148753 70.118
430.244049 70.116
433.361775 70.114
436.502093 70.112
439.665167 70.111
442.851162 70.109
446.060244 70.107
449.292581 70.105
452.548340 70.104
455.827692 70.102
459.130807 70.100
462.457858 70.099
465.809019 70.097
469.184463 70.096
472.584367 70.094
476.008908 70.093
479.458265 70.091
482.932617 70.090
486.432146 70.089
489.957033 70.088
493.507464 70.086
497.083623 70.085
500.685695 70.084
504.313870 70.083
507.968337 70.081
511.649285 70.080
515.356906 70.079
519.091395 70.078
522.852945 70.077
526.641753 70.076
530.458016 70.075
534.301934 70.074
538.173706 70.073
542.073534 70.072
546.001623 70.071
549.958175 70.070
553.943399 70.069
557.957501 70.069
562.000691 70.068
566.073180 70.067
570.175180 70.066
574.306904 70.066
578.468569 70.065
582.660390 70.064
586.882588 70.063
591.135381 70.063
595.418991 70.062
599.733643 70.061
604.079560 70.061
608.456970 70.060
612.866100 70.060
617.307180 70.059
621.780442 70.058
626.286120 70.057
630.824447 70.057
635.395661 70.056
640.000000 70.056
644.637704 70.055
649.309014 70.055
654.014175 70.054
658.753431 70.054
663.527030 70.053
668.335221 70.053
673.178253 70.052
678.056380 70.052
682.969856 70.052
687.918938 70.052
692.903882 70.051
697.924949 70.051
702.982401 70.050
708.076501 70.050
713.207515 70.049
718.375711 70.049
723.581357 70.048
728.824726 70.048
734.106091 70.047
739.425726 70.047
744.783910 70.047
750.180921 70.047
755.617041 70.046
761.092554 70.046
766.607744 70.046
772.162900 70.046
777.758310 70.045
783.394268 70.045
789.071066 70.045
794.789000 70.045
800.548368 70.044
806.349472 70.044
812.192613 70.044
818.078095 70.044
824.006226 70.043
829.977315 70.043
835.991673 70.043
842.049613 70.043
848.151452 70.042
854.297507 70.042
860.488099 70.042
866.723550 70.042
873.004186 70.041
879.330334 70.041
885.702324 70.041
892.120489 70.041
898.585161 70.041
905.096680 70.041
911.655384 70.041
918.261614 70.041
924.915716 70.040
931.618037 70.040
938.368925 70.040
945.168733 70.040
952.017816 70.040
958.916529 70.040
965.865234 70.040
972.864291 70.039
979.914067 70.039
987.014928 70.038
994.167245 70.037
1001.371391 70.035
1008.627741 70.026
1015.936673 70.016
1023.298569 70.005
1030.713812 69.995
1038.182790 69.984
1045.705890 69.973
1053.283506 69.963
1060.916032 69.952
1068.603867 69.942
1076.347412 69.931
1084.147069 69.921
1092.003245 69.910
1099.916351 69.900
1107.886798 69.889
1115.915003 69.879
1124.001383 69.868
1132.146360 69.858
1140.350359 69.847
1148.613808 69.837
1156.937137 69.826
1165.320781 69.816
1173.765175 69.805
1182.270762 69.795
1190.837983 69.785
1199.467286 69.774
1208.159120 69.764
1216.913939 69.753
1225.732199 69.743
1234.614360 69.732
1243.560885 69.722
1252.572239 69.711
1261.648894 69.701
1270.791322 69.690
1280.000000 69.680
1289.275408 69.669
1298.618029 69.659
1308.028350 69.648
1317.506863 69.638
1327.054061 69.628
1336.670442 69.617
1346.356507 69.607
1356.112761 69.596
1365.939713 69.586
1375.837875 69.575
1385.807763 69.565
1395.849898 69.554
1405.964802 69.544
1416.153002 69.533
1426.415031 69.523
1436.751422 69.512
1447.162715 69.502
1457.649452 69.491
1468.212181 69.481
1478.851452 69.470
1489.567819 69.460
1500.361842 69.450
1511.234082 69.439
1522.185107 69.429
1533.215488 69.418
1544.325799 69.408
1555.516621 69.397
1566.788535 69.387
1578.142131 69.377
1589.577999 69.367
1601.096737 69.356
1612.698944 69.346
1624.385225 69.335
1636.156190 69.324
1648.012452 69.314
1659.954630 69.303
1671.983345 69.293
1684.099226 69.282
1696.302903 69.272
1708.595013 69.262
1720.976197 69.252
1733.447100 69.241
1746.008372 69.231
1758.660669 69.220
1771.404649 69.210
1784.240977 69.199
1797.170323 69.189
1810.193360 69.178
1823.310767 69.167
1836.523229 69.157
1849.831433 69.147
1863.236074 69.136
1876.737851 69.126
1890.337467 69.116
1904.035631 69.105
1917.833058 69.095
1931.730467 69.084
1945.728583 69.074
1959.828134 69.063
1974.029857 69.053
1988.334491 69.043
2002.742782 69.033
2017.255482 69.022
2031.873347 69.011
2046.597138 69.001
2061.427625 68.990
2076.365579 68.980
2091.411780 68.969
2106.567012 68.959
2121.832065 68.948
2137.207735 68.938
2152.694823 68.928
2168.294137 68.917
2184.006490 68.907
2199.832702 68.897
2215.773596 68.886
2231.830005 68.876
2248.002765 68.865
2264.292720 68.855
2280.700718 68.845
2297.227616 68.834
2313.874274 68.824
2330.641561 68.813
2347.530351 68.803
2364.541523 68.792
2381.675966 68.782
2398.934572 68.772
2416.318240 68.761
2433.827878 68.751
2451.464399 68.741
2469.228720 68.730
2487.121769 68.720
2505.144479 68.709
2523.297789 68.699
2541.582644 68.688
2560.000000 68.678
2578.550815 68.668
2597.236057 68.657
2616.056701 68.647
2635.013726 68.636
2654.108121 68.626
2673.340883 68.615
2692.713013 68.605
2712.225522 68.594
2731.879426 68.584
2751.675750 68.573
2771.615527 68.563
2791.699796 68.553
2811.929603 68.542
2832.306004 68.532
2852.830061 68.521
2873.502844 68.511
2894.325430 68.500
2915.298905 68.490
2936.424363 68.480
2957.702904 68.469
2979.135638 68.459
3000.723683 68.449
3022.468164 68.438
3044.370214 68.428
3066.430976 68.417
3088.651599 68.407
3111.033242 68.396
3133.577071 68.386
3156.284262 68.376
3179.155999 68.365
3202.193474 68.355
3225.397888 68.344
3248.770450 68.334
3272.312380 68.323
3296.024905 68.313
3319.909260 68.303
3343.966691 68.293
3368.198452 68.282
3392.605806 68.272
3417.190027 68.261
3441.952394 68.251
3466.894200 68.240
3492.016745 68.230
3517.321337 68.219
3542.809298 68.208
3568.481954 68.198
3594.340646 68.188
3620.386720 68.177
3646.621534 68.167
3673.046457 68.157
3699.662866 68.146
3726.472148 68.136
3753.475701 68.125
3780.674934 68.115
3808.071263 68.105
3835.666117 68.094
3863.460935 68.084
3891.457165 68.073
3919.656268 68.063
3948.059713 68.052
3976.668981 68.042
4005.485564 68.032
4034.510963 68.021
4063.746693 68.011
4093.194277 68.001
4122.855250 67.990
4152.731158 67.980
4182.823560 67.969
4213.134024 67.959
4243.664130 67.948
4274.415470 67.938
4305.389646 67.928
4336.588274 67.917
4368.012981 67.907
4399.665403 67.896
4431.547192 67.886
4463.660010 67.875
4496.005531 67.865
4528.585440 67.855
4561.401437 67.844
