* Measurement data measured by REW V5.40 beta 133
* Source: EQ window target shape
* Format: 
* Dated: Sep 10, 2026, 1:39:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz)	SPL(dB)
27.878765	76.271
28.080786	76.270
28.284271	76.269
28.489231	76.268
28.695675	76.266
28.903616	76.265
29.113064	76.264
29.324029	76.263
29.536523	76.262
29.750557	76.260
29.966142	76.259
30.183289	76.258
30.402009	76.257
30.622315	76.255
30.844217	76.254
31.067726	76.252
31.292856	76.251
31.519617	76.249
31.748021	76.247
31.978080	76.246
32.209807	76.244
32.443212	76.243
32.678309	76.241
32.915110	76.239
33.153626	76.237
33.393871	76.235
33.635857	76.233
33.879596	76.231
34.125101	76.229
34.372386	76.227
34.621462	76.225
34.872344	76.223
35.125043	76.220
35.379574	76.218
35.635949	76.216
35.894182	76.213
36.154286	76.211
36.416274	76.208
36.680162	76.206
36.945961	76.203
37.213687	76.200
37.483353	76.197
37.754973	76.194
38.028561	76.192
38.304131	76.189
38.581699	76.185
38.861278	76.182
39.142882	76.179
39.426528	76.176
39.712229	76.173
40.000000	76.169
40.289856	76.166
40.581813	76.162
40.875886	76.159
41.172089	76.155
41.470439	76.151
41.770951	76.147
42.073641	76.143
42.378524	76.139
42.685616	76.134
42.994934	76.130
43.306493	76.126
43.620309	76.121
43.936400	76.117
44.254781	76.112
44.575470	76.107
44.898482	76.102
45.223835	76.097
45.551545	76.092
45.881631	76.087
46.214108	76.081
46.548994	76.076
46.886308	76.070
47.226065	76.064
47.568285	76.058
47.912984	76.052
48.260181	76.046
48.609894	76.040
48.962142	76.034
49.316942	76.027
49.674312	76.020
50.034273	76.013
50.396842	76.006
50.762038	75.999
51.129881	75.992
51.500389	75.984
51.873582	75.977
52.249480	75.969
52.628101	75.961
53.009466	75.953
53.393594	75.945
53.780506	75.936
54.170222	75.928
54.562762	75.919
54.958146	75.910
55.356395	75.900
55.757531	75.891
56.161573	75.882
56.568542	75.872
56.978461	75.861
57.391351	75.851
57.807232	75.841
58.226127	75.830
58.648058	75.819
59.073046	75.808
59.501113	75.797
59.932283	75.785
60.366577	75.774
60.804018	75.762
61.244629	75.750
61.688433	75.737
62.135453	75.724
62.585712	75.711
63.039234	75.698
63.496042	75.684
63.956161	75.671
64.419613	75.657
64.886424	75.643
65.356618	75.628
65.830219	75.613
66.307252	75.598
66.787742	75.583
67.271713	75.567
67.759192	75.551
68.250203	75.535
68.744772	75.519
69.242925	75.502
69.744688	75.485
70.250086	75.467
70.759147	75.450
71.271897	75.432
71.788363	75.413
72.308571	75.395
72.832549	75.376
73.360323	75.357
73.891923	75.337
74.427374	75.318
74.966705	75.298
75.509945	75.277
76.057121	75.256
76.608262	75.235
77.163398	75.214
77.722555	75.192
78.285765	75.170
78.853056	75.147
79.424458	75.125
80.000000	75.101
80.579713	75.078
81.163627	75.054
81.751772	75.030
82.344179	75.006
82.940879	74.981
83.541903	74.956
84.147282	74.931
84.757048	74.905
85.371232	74.879
85.989867	74.853
86.612985	74.826
87.240619	74.799
87.872800	74.772
88.509563	74.744
89.150939	74.717
89.796964	74.688
90.447670	74.660
91.103091	74.631
91.763261	74.602
92.428216	74.572
93.097989	74.542
93.772615	74.512
94.452130	74.482
95.136569	74.451
95.825968	74.420
96.520362	74.389
97.219789	74.358
97.924283	74.326
98.633883	74.295
99.348625	74.263
100.068546	74.230
100.793684	74.198
101.524077	74.165
102.259762	74.132
103.000778	74.098
103.747164	74.065
104.498959	74.031
105.256202	73.998
106.018931	73.964
106.787188	73.930
107.561012	73.895
108.340444	73.861
109.125523	73.826
109.916292	73.791
110.712791	73.756
111.515061	73.721
112.323145	73.686
113.137085	73.651
113.956923	73.616
114.782702	73.581
115.614465	73.545
116.452255	73.510
117.296116	73.475
118.146092	73.439
119.002227	73.403
119.864566	73.368
120.733154	73.332
121.608036	73.296
122.489258	73.261
123.376866	73.225
124.270906	73.190
125.171424	73.155
126.078468	73.119
126.992084	73.084
127.912321	73.049
128.839227	73.014
129.772849	72.979
130.713236	72.944
131.660438	72.909
132.614504	72.874
133.575483	72.840
134.543426	72.806
135.518384	72.772
136.500406	72.737
137.489544	72.703
138.485850	72.670
139.489375	72.637
140.500173	72.603
141.518295	72.570
