* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
77.270508 -0.008 21.3462
77.636719 -0.019 20.9842
78.002930 -0.040 20.5597
78.369141 -0.073 20.0869
78.735352 -0.122 19.5877
79.101562 -0.188 19.0776
79.467773 -0.273 18.5730
79.833984 -0.380 18.1137
80.200195 -0.506 17.7474
80.566406 -0.650 17.5258
80.932617 -0.800 17.4575
81.298828 -0.951 17.5519
81.665039 -1.097 17.7720
82.031250 -1.235 18.1051
82.397461 -1.365 18.5264
82.763672 -1.485 19.0197
83.129883 -1.595 19.5723
83.496094 -1.696 20.1723
83.862305 -1.787 20.8108
84.228516 -1.868 21.4796
84.594727 -1.940 22.1719
84.960938 -2.004 22.8815
85.327148 -2.058 23.6026
85.693359 -2.103 24.3302
86.059570 -2.140 25.0586
86.425781 -2.170 25.7841
86.791992 -2.191 26.5016
87.158203 -2.205 27.2082
87.524414 -2.212 27.9001
87.890625 -2.212 28.5737
88.256836 -2.206 29.2269
88.623047 -2.195 29.8554
88.989258 -2.178 30.4584
89.355469 -2.156 31.0323
89.721680 -2.129 31.5763
90.087891 -2.099 32.0885
90.454102 -2.065 32.5667
90.820312 -2.028 33.0107
91.186523 -1.988 33.4171
91.552734 -1.946 33.7871
91.918945 -1.902 34.1177
92.285156 -1.857 34.4104
92.651367 -1.812 34.6634
93.017578 -1.766 34.8774
93.383789 -1.721 35.0526
93.750000 -1.677 35.1886
94.116211 -1.634 35.2874
94.482422 -1.593 35.3484
94.848633 -1.555 35.3752
95.214844 -1.519 35.3674
95.581055 -1.488 35.3295
95.947266 -1.460 35.2613
96.313477 -1.436 35.1678
96.679688 -1.417 35.0494
97.045898 -1.403 34.9115
97.412109 -1.394 34.7557
97.778320 -1.391 34.5870
98.144531 -1.393 34.4081
98.510742 -1.401 34.2238
98.876953 -1.414 34.0371
99.243164 -1.434 33.8523
99.609375 -1.459 33.6725
99.975586 -1.489 33.5016
