* Generated by rew_pipeline.py (source UUID 7d856d07-f568-4c89-a086-d78dd62d4f33, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:01
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6 B = FRX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
36.254883 71.485 -87.1509
36.437988 70.962 -155.8221
36.621094 70.328 137.1601
36.804199 69.670 71.7223
36.987305 69.045 7.3413
37.170410 68.478 -56.6105
37.353516 67.977 -120.6581
37.536621 67.544 174.8501
37.719727 67.175 109.9017
37.902832 66.887 44.9029
38.085938 66.749 -19.6913
38.269043 66.833 -84.0172
38.452148 67.094 -148.8121
38.635254 67.345 145.4754
38.818359 67.397 79.2744
39.001465 67.195 13.5204
39.184570 66.847 -51.1962
39.367676 66.521 -115.3346
39.550781 66.264 179.9847
39.733887 65.979 114.4314
39.916992 65.633 49.0455
40.100098 65.406 -14.9754
40.283203 65.560 -78.2070
40.466309 66.037 -142.7447
40.649414 66.436 150.7173
40.832520 66.426 83.8415
41.015625 66.020 19.2819
41.198730 65.668 -41.5908
41.381836 65.873 -101.5757
41.564941 66.426 -165.0638
41.748047 66.737 127.7671
41.931152 66.558 60.0682
42.114258 66.150 -4.6928
42.297363 66.168 -66.0449
42.480469 66.887 -128.3221
42.663574 67.712 165.5106
42.846680 68.040 97.4020
43.029785 67.794 31.2359
43.212891 67.531 -30.2505
43.395996 68.082 -90.1345
43.579102 69.294 -155.2760
43.762207 70.352 133.1307
43.945312 70.856 58.1589
44.128418 70.820 -16.6017
44.311523 70.528 -87.9766
44.494629 70.535 -154.7811
44.677734 71.261 139.9633
44.860840 72.405 72.1990
45.043945 73.388 1.5276
45.227051 73.933 -70.1536
45.410156 74.093 -140.8996
45.593262 74.137 150.2676
45.776367 74.384 82.6510
45.959473 74.938 14.3566
46.142578 75.641 -55.8167
46.325684 76.297 -127.6251
46.508789 76.819 159.7711
46.691895 77.212 86.9663
46.875000 77.510 14.0547
47.058105 77.724 -59.1798
47.241211 77.832 -132.9023
47.424316 77.811 153.0051
47.607422 77.662 78.9331
47.790527 77.418 5.3802
47.973633 77.136 -67.2504
48.156738 76.874 -138.8051
48.339844 76.677 150.5699
48.522949 76.572 80.4813
48.706055 76.564 10.3974
48.889160 76.638 -60.2050
49.072266 76.769 -131.6585
49.255371 76.933 156.0312
49.438477 77.121 83.1745
49.621582 77.339 10.2322
49.804688 77.598 -62.4096
49.987793 77.895 -134.5855
50.170898 78.211 153.6559
50.354004 78.520 82.1449
50.537109 78.805 10.6432
50.720215 79.063 -61.1635
50.903320 79.285 -133.6226
51.086426 79.443 153.0462
51.269531 79.498 78.9346
51.452637 79.417 4.5000
51.635742 79.207 -69.5714
51.818848 78.926 -142.6705
52.001953 78.671 145.3354
52.185059 78.513 73.8881
52.368164 78.422 2.0984
52.551270 78.278 -70.5346
52.734375 77.962 -143.7871
52.917480 77.435 143.0672
53.100586 76.758 70.7881
53.283691 76.067 -0.3587
53.466797 75.466 -70.8836
53.649902 74.925 -141.6051
53.833008 74.293 147.2671
54.016113 73.436 76.4820
54.199219 72.353 7.3403
54.382324 71.232 -59.2011
54.565430 70.344 -123.6696
54.748535 69.770 172.0358
54.931641 69.322 106.7602
55.114746 68.817 41.0790
55.297852 68.278 -23.9813
55.480957 67.833 -88.3693
55.664062 67.498 -152.9028
55.847168 67.150 142.1748
56.030273 66.743 77.6512
56.213379 66.436 13.9417
56.396484 66.382 -50.3124
56.579590 66.409 -116.9144
56.762695 66.145 174.4287
56.945801 65.375 106.3776
57.128906 64.335 42.7174
57.312012 63.901 -15.6708
57.495117 64.574 -75.5899
57.678223 65.456 -142.0986
57.861328 65.648 147.2913
58.044434 64.836 77.4527
58.227539 63.234 14.3316
58.410645 62.169 -38.1197
58.593750 62.968 -90.4478
58.776855 64.209 -152.3992
58.959961 64.646 140.6760
59.143066 64.212 75.1693
59.326172 63.554 15.3408
59.509277 63.692 -40.7665
59.692383 64.624 -100.3868
59.875488 65.476 -164.9761
60.058594 65.846 128.8859
60.241699 65.880 64.4340
60.424805 65.991 2.8137
60.607910 66.510 -57.4149
60.791016 67.410 -118.2839
60.974121 68.519 179.5692
61.157227 69.747 116.1623
61.340332 71.032 51.2946
61.523438 72.269 -15.1090
61.706543 73.370 -82.6414
61.889648 74.327 -150.6962
62.072754 75.201 141.0483
62.255859 76.057 72.4413
62.438965 76.900 3.1298
62.622070 77.685 -67.0172
62.805176 78.364 -137.7850
62.988281 78.926 151.1764
63.171387 79.383 80.0938
63.354492 79.747 8.9944
63.537598 80.003 -62.1458
63.720703 80.122 -133.1829
63.903809 80.101 156.2635
64.086914 79.994 86.6272
64.270020 79.913 18.0137
64.453125 79.960 -50.0815
64.636230 80.138 -118.4975
64.819336 80.343 172.3029
65.002441 80.456 102.5803
65.185547 80.427 33.0557
65.368652 80.300 -35.5895
65.551758 80.187 -103.1819
65.734863 80.188 -170.2558
65.917969 80.310 122.3022
66.101074 80.473 53.9044
66.284180 80.581 -15.4633
66.467285 80.581 -85.4339
66.650391 80.469 -155.5434
66.833496 80.273 134.5907
67.016602 80.038 65.1704
67.199707 79.801 -3.8319
67.382812 79.570 -72.6267
67.565918 79.307 -141.4209
67.749023 78.948 149.8326
67.932129 78.448 81.5587
68.115234 77.834 14.4075
68.298340 77.235 -51.2199
68.481445 76.820 -115.7938
68.664551 76.647 179.3887
68.847656 76.589 113.3478
69.030762 76.475 46.2465
69.213867 76.237 -21.0088
69.396973 75.939 -87.6404
69.580078 75.697 -153.6411
69.763184 75.552 140.3066
69.946289 75.421 73.6742
70.129395 75.197 6.6917
70.312500 74.861 -59.9426
70.495605 74.496 -125.8009
70.678711 74.195 168.8099
70.861816 73.949 103.2271
71.044922 73.658 37.3107
71.228027 73.259 -28.3148
71.411133 72.822 -92.9402
71.594238 72.486 -156.7001
71.777344 72.293 139.3730
71.960449 72.101 74.5929
72.143555 71.747 9.5503
72.326660 71.231 -54.3628
72.509766 70.765 -116.2749
72.692871 70.597 -177.0469
72.875977 70.715 121.5018
73.059082 70.896 58.8392
73.242188 71.011 -4.0534
73.425293 71.146 -66.2622
73.608398 71.444 -128.1102
73.791504 71.889 169.3755
73.974609 72.331 105.9440
74.157715 72.687 42.3810
74.340820 73.042 -20.5317
74.523926 73.555 -83.0492
74.707031 74.266 -146.3078
74.890137 75.050 148.9494
75.073242 75.767 82.9935
75.256348 76.382 16.5661
75.439453 76.948 -49.8350
75.622559 77.532 -116.2416
75.805664 78.152 177.0186
75.988770 78.767 109.7573
76.171875 79.337 42.0941
76.354980 79.850 -25.7102
76.538086 80.328 -93.4878
76.721191 80.796 -161.2526
76.904297 81.263 130.8764
77.087402 81.720 62.8047
77.270508 82.152 -5.4735
77.453613 82.552 -73.9089
77.636719 82.915 -142.4404
77.819824 83.245 149.0012
78.002930 83.553 80.4772
78.186035 83.857 11.9906
78.369141 84.180 -56.5615
78.552246 84.528 -125.3696
78.735352 84.887 165.3882
78.918457 85.229 95.6411
79.101562 85.527 25.4577
79.284668 85.767 -45.0018
79.467773 85.951 -115.5986
79.650879 86.085 173.7225
79.833984 86.170 102.9663
80.017090 86.199 32.1353
80.200195 86.160 -38.7318
80.383301 86.048 -109.5524
80.566406 85.868 179.7559
80.749512 85.629 109.2306
80.932617 85.339 38.8690
81.115723 85.002 -31.3319
81.298828 84.616 -101.3379
81.481934 84.186 -171.0776
81.665039 83.724 119.5103
81.848145 83.243 50.4255
82.031250 82.750 -18.3959
82.214355 82.241 -87.0219
82.397461 81.701 -155.4509
82.580566 81.123 136.4129
82.763672 80.510 68.7206
82.946777 79.887 1.6096
83.129883 79.291 -64.8661
83.312988 78.766 -130.7948
83.496094 78.342 163.5621
83.679199 78.020 97.8273
83.862305 77.762 31.6728
84.045410 77.505 -35.0048
84.228516 77.196 -102.0516
84.411621 76.814 -169.2031
84.594727 76.371 123.7156
84.777832 75.873 56.7211
84.960938 75.307 -10.1748
85.144043 74.642 -76.7042
85.327148 73.882 -142.2389
85.510254 73.130 153.8921
85.693359 72.578 91.6283
85.876465 72.354 29.7329
86.059570 72.379 -33.2398
86.242676 72.470 -97.6900
86.425781 72.516 -163.1438
86.608887 72.522 130.8645
86.791992 72.529 64.3318
86.975098 72.527 -2.9708
87.158203 72.457 -70.9568
87.341309 72.281 -139.0664
87.524414 72.030 153.3640
87.707520 71.782 86.5851
87.890625 71.582 20.2807
88.073730 71.391 -45.9605
88.256836 71.145 -112.1371
88.439941 70.863 -178.0814
88.623047 70.640 115.7529
88.806152 70.509 48.0673
88.989258 70.352 -22.3211
89.172363 70.004 -95.4968
89.355469 69.398 -170.4512
89.538574 68.625 114.3720
89.721680 67.927 40.1943
89.904785 67.564 -33.3574
90.087891 67.543 -108.4429
90.270996 67.560 172.8085
90.454102 67.310 89.3772
90.637207 66.784 0.9038
90.820312 66.376 -91.6835
91.003418 66.578 175.8371
91.186523 67.377 88.9454
91.369629 68.452 9.3790
91.552734 69.655 -64.7674
91.735840 70.907 -136.4169
91.918945 72.069 152.4389
92.102051 73.027 81.2163
92.285156 73.766 10.0677
92.468262 74.348 -60.8441
92.651367 74.846 -131.6227
92.834473 75.283 157.5180
93.017578 75.640 86.5508
93.200684 75.896 15.7233
93.383789 76.062 -54.6251
93.566895 76.182 -124.3203
93.750000 76.303 166.5360
93.933105 76.443 97.6885
94.116211 76.598 28.9328
94.299316 76.759 -39.8212
94.482422 76.923 -108.6442
94.665527 77.076 -177.6484
94.848633 77.182 113.1083
95.031738 77.195 43.7784
95.214844 77.092 -25.2627
95.397949 76.904 -93.6223
95.581055 76.696 -161.1696
95.764160 76.531 131.8724
95.947266 76.426 65.1523
96.130371 76.370 -1.5089
96.313477 76.368 -68.1249
96.496582 76.447 -134.8397
96.679688 76.608 157.9364
96.862793 76.786 89.8334
97.045898 76.883 20.9151
97.229004 76.834 -48.3127
97.412109 76.648 -117.2335
97.595215 76.393 174.4773
97.778320 76.140 106.6372
97.961426 75.893 38.8010
98.144531 75.585 -29.1718
98.327637 75.158 -96.8420
98.510742 74.647 -163.5104
98.693848 74.178 131.0925
98.876953 73.870 66.3236
99.060059 73.703 1.1113
99.243164 73.533 -64.9728
99.426270 73.242 -131.4165
99.609375 72.835 162.6284
99.792480 72.417 97.5801
99.975586 72.092 33.0752
100.158691 71.856 -31.5708
100.341797 71.619 -96.5568
100.524902 71.317 -161.4321
100.708008 70.974 134.3935
100.891113 70.673 71.1142
101.074219 70.478 8.4536
101.257324 70.401 -53.9601
101.440430 70.433 -116.3275
101.623535 70.575 -178.8087
101.806641 70.815 118.3619
101.989746 71.118 55.0642
102.172852 71.455 -8.5636
102.355957 71.841 -72.3593
102.539062 72.311 -136.4906
102.722168 72.851 158.5897
102.905273 73.383 92.6040
103.088379 73.820 25.7532
103.271484 74.128 -41.4459
103.454590 74.342 -108.5497
103.637695 74.526 -175.4754
103.820801 74.715 117.5378
104.003906 74.888 50.2784
104.187012 75.004 -17.1435
104.370117 75.052 -84.3612
104.553223 75.073 -151.0871
104.736328 75.124 142.5935
104.919434 75.223 76.2704
105.102539 75.327 9.5936
105.285645 75.373 -57.4194
105.468750 75.331 -124.4481
105.651855 75.229 168.8372
105.834961 75.122 102.5272
106.018066 75.051 36.4592
106.201172 75.021 -29.5709
106.384277 75.015 -95.6135
106.567383 75.023 -161.5844
106.750488 75.047 132.5799
106.933594 75.092 66.8401
107.116699 75.150 1.1175
107.299805 75.206 -64.6129
107.482910 75.259 -130.3341
107.666016 75.315 163.9304
107.849121 75.378 98.0936
108.032227 75.440 32.0907
108.215332 75.487 -34.0309
108.398438 75.517 -100.1353
108.581543 75.542 -166.1160
108.764648 75.577 128.0251
108.947754 75.622 62.2325
109.130859 75.664 -3.4826
109.313965 75.703 -69.0157
109.497070 75.763 -134.2930
109.680176 75.876 160.5807
109.863281 76.057 95.3443
110.046387 76.286 29.7800
110.229492 76.533 -36.1318
110.412598 76.786 -102.2749
110.595703 77.053 -168.5866
110.778809 77.340 124.8436
110.961914 77.629 57.8669
111.145020 77.883 -9.5498
111.328125 78.068 -77.2566
111.511230 78.176 -145.0096
111.694336 78.229 147.3772
111.877441 78.255 79.9405
112.060547 78.275 12.5958
112.243652 78.288 -54.7476
112.426758 78.285 -122.0977
112.609863 78.259 170.6152
112.792969 78.210 103.4802
112.976074 78.143 36.5683
113.159180 78.068 -30.0610
113.342285 78.002 -96.3607
113.525391 77.971 -162.3539
113.708496 78.001 131.8002
113.891602 78.097 65.8382
114.074707 78.234 -0.4477
114.257812 78.370 -67.0673
114.440918 78.483 -133.8510
114.624023 78.576 159.3907
114.807129 78.671 92.7064
114.990234 78.783 25.9721
115.173340 78.906 -40.9898
115.356445 79.015 -108.2628
115.539551 79.092 -175.8009
115.722656 79.131 116.4915
115.905762 79.139 48.6735
116.088867 79.117 -19.2392
116.271973 79.058 -87.2081
116.455078 78.956 -155.1210
116.638184 78.816 137.1729
116.821289 78.659 69.7598
117.004395 78.506 2.5852
117.187500 78.363 -64.5095
117.370605 78.215 -131.6527
117.553711 78.043 161.1615
117.736816 77.836 94.0511
117.919922 77.606 27.1362
118.103027 77.370 -39.5476
