* Measurement data measured by REW V5.40 beta 133
* Source: /home/giacomo/DRC/DRC-120.green/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 12, 2026, 10:33:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.green/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
59.692378 -0.010 28.1378
60.058589 -0.010 28.3130
60.424800 -0.010 28.4883
60.791011 -0.010 28.6637
61.157222 -0.010 28.8391
61.523433 -0.010 29.0145
61.889643 -0.010 29.1900
62.255854 -0.010 29.3655
62.622065 -0.010 29.5411
62.988276 -0.010 29.7167
63.354487 -0.010 29.8924
63.720698 -0.010 30.0681
64.086909 -0.010 30.2438
64.453120 -0.010 30.4197
64.819331 -0.010 30.5955
65.185542 -0.010 30.7715
65.551753 -0.010 30.9474
65.917963 -0.010 31.1234
66.284174 -0.010 31.2995
66.650385 -0.010 31.4756
67.016596 -0.010 31.6518
67.382807 -0.010 31.8280
67.749018 -0.010 32.0043
68.115229 -0.010 32.1806
68.481440 -0.010 32.3570
68.847651 -0.010 32.5335
69.213862 -0.010 32.7099
69.580072 -0.010 32.8865
69.946283 -0.010 33.0631
70.312494 -0.010 33.2397
70.678705 -0.010 33.4164
71.044916 -0.010 33.5932
71.411127 -0.010 33.7700
71.777338 -0.010 33.9469
72.143549 -0.010 34.1238
72.509760 -0.010 34.3007
72.875971 -0.010 34.4778
73.242182 -0.010 34.6549
73.608392 -0.010 34.8320
73.974603 -0.010 35.0092
74.340814 -0.010 35.1865
74.707025 -0.010 35.3638
75.073236 -0.010 35.5411
75.439447 -0.010 35.7185
75.805658 -0.010 35.8960
76.171869 -0.010 36.0735
76.538080 -0.010 36.2511
76.904291 -0.010 36.4288
77.270502 -0.010 36.6065
77.636712 -0.010 36.7843
78.002923 -0.010 36.9621
78.369134 -0.010 37.1400
