* Generated by rew_pipeline.py (source UUID 3345a9fc-2b9f-4cd3-b89a-36b93d3c0b7d, calibrated to its own SPL at 100 Hz)
* Measurement: R.nofdw.clean-fdw6
* Dated: 2026-Sep-12 16:19:00
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
70.678711 74.436 146.6335
71.044922 73.735 15.3094
71.411133 73.046 -114.5274
71.777344 72.680 116.8305
72.143555 71.979 -11.7271
72.509766 71.219 -137.2483
72.875977 70.947 98.5930
73.242188 71.524 -24.8059
73.608398 71.832 -151.5433
73.974609 73.048 83.8074
74.340820 73.705 -41.7919
74.707031 74.812 -168.2421
75.073242 76.415 59.7073
75.439453 77.875 -72.0926
75.805664 78.780 154.1821
76.171875 80.367 18.4026
76.538086 81.215 -115.9273
76.904297 82.179 107.0501
77.270508 83.184 -29.4964
77.636719 83.990 -166.4900
78.002930 84.711 56.1861
78.369141 85.349 -80.9796
78.735352 86.103 140.4297
79.101562 86.882 -0.1603
79.467773 87.322 -141.4486
79.833984 87.642 76.5894
80.200195 87.628 -65.9657
80.566406 87.377 151.8454
80.932617 86.920 10.1928
81.298828 86.176 -130.8014
81.665039 85.283 89.6520
82.031250 84.286 -49.4986
82.397461 83.228 172.9818
82.763672 81.953 36.1165
83.129883 80.850 -97.9636
83.496094 79.653 130.4199
83.862305 79.033 -2.7550
84.228516 78.451 -137.0165
84.594727 77.474 88.0951
84.960938 76.479 -45.2986
85.327148 74.723 -178.1958
85.693359 73.451 55.5553
86.059570 73.112 -68.9054
86.425781 73.077 160.3188
86.791992 73.147 28.4933
87.158203 72.903 -106.2024
87.524414 72.572 117.1896
87.890625 72.007 -12.6135
88.256836 71.230 -145.7325
88.623047 70.717 76.7907
88.989258 71.310 -55.3441
89.355469 69.806 159.4366
89.721680 66.812 2.5002
90.087891 68.665 -143.5809
90.454102 68.104 59.1984
90.820312 65.357 -131.1283
91.186523 67.862 59.5148
91.552734 70.246 -97.0840
91.918945 71.904 120.6214
92.285156 73.868 -22.0779
92.651367 75.214 -163.4364
93.017578 75.640 55.2166
93.383789 76.287 -84.7964
93.750000 76.413 135.4856
94.116211 76.745 -0.5908
94.482422 76.986 -138.3271
94.848633 77.438 83.7702
95.214844 77.210 -53.0157
95.581055 76.868 170.8430
95.947266 76.727 38.7300
96.313477 76.478 -94.9482
96.679688 77.191 132.4753
97.045898 77.297 -3.5149
97.412109 77.190 -141.5372
97.778320 76.949 82.6747
98.144531 76.411 -51.8417
98.510742 75.571 172.6474
98.876953 75.154 44.1132
99.243164 74.825 -87.8589
99.609375 74.106 141.6308
99.975586 73.782 8.6918
100.341797 73.333 -117.8907
100.708008 72.900 112.4086
101.074219 72.382 -14.7886
101.440430 72.675 -138.5241
101.806641 73.100 95.5532
102.172852 73.917 -31.9381
102.539062 74.850 -159.0600
102.905273 76.169 68.0822
103.271484 76.961 -64.8982
103.637695 77.559 160.2118
104.003906 78.017 25.2609
104.370117 78.268 -109.4359
104.736328 78.616 116.6337
105.102539 78.813 -16.6119
105.468750 78.974 -150.7926
