* Generated by rew_pipeline.py (source UUID 7e7ffd0f-409a-4ea4-9b14-d7aa3d850d0c, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:17
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6-peq B = FRX-trimmed.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
36.254883 71.406 -89.4263
36.437988 70.882 -158.1120
36.621094 70.247 134.8557
36.804199 69.588 69.4032
36.987305 68.962 5.0077
37.170410 68.394 -58.9588
37.353516 67.892 -123.0210
37.536621 67.458 172.4724
37.719727 67.088 107.5093
37.902832 66.798 42.4957
38.085938 66.659 -22.1135
38.269043 66.743 -86.4543
38.452148 67.002 -151.2641
38.635254 67.252 143.0085
38.818359 67.303 76.7923
39.001465 67.099 11.0232
39.184570 66.750 -53.7085
39.367676 66.424 -117.8620
39.550781 66.165 177.4420
39.733887 65.879 111.8735
39.916992 65.531 46.4723
40.100098 65.303 -17.5640
40.283203 65.456 -80.8110
40.466309 65.931 -145.3641
40.649414 66.330 148.0824
40.832520 66.318 81.1910
41.015625 65.911 16.6159
41.198730 65.557 -44.2724
41.381836 65.761 -104.2730
41.564941 66.313 -167.7768
41.748047 66.622 125.0383
41.931152 66.442 57.3237
42.114258 66.032 -7.4533
42.297363 66.048 -68.8212
42.480469 66.766 -131.1143
42.663574 67.589 162.7024
42.846680 67.916 94.5778
43.029785 67.669 28.3956
43.212891 67.404 -33.1069
43.395996 67.954 -93.0070
43.579102 69.164 -158.1647
43.762207 70.220 130.2257
43.945312 70.723 55.2377
44.128418 70.685 -19.5393
44.311523 70.391 -90.9306
44.494629 70.396 -157.7514
44.677734 71.121 136.9765
44.860840 72.263 69.1957
45.043945 73.244 -1.4922
45.227051 73.787 -73.1900
45.410156 73.945 -143.9527
45.593262 73.988 147.1978
45.776367 74.233 79.5646
45.959473 74.785 11.2535
46.142578 75.486 -58.9366
46.325684 76.140 -130.7618
46.508789 76.660 156.6175
46.691895 77.051 83.7959
46.875000 77.348 10.8674
47.058105 77.559 -62.3841
47.241211 77.665 -136.1236
47.424316 77.642 149.7668
47.607422 77.491 75.6777
47.790527 77.245 2.1077
47.973633 76.961 -70.5400
48.156738 76.696 -142.1118
48.339844 76.498 147.2459
48.522949 76.390 77.1402
48.706055 76.379 7.0390
48.889160 76.451 -63.5807
49.072266 76.580 -135.0514
49.255371 76.742 152.6209
49.438477 76.927 79.7469
49.621582 77.143 6.7872
49.804688 77.400 -65.8720
49.987793 77.695 -138.0653
50.170898 78.008 150.1586
50.354004 78.313 78.6303
50.537109 78.596 7.1111
50.720215 78.851 -64.7132
50.903320 79.071 -137.1897
51.086426 79.227 149.4615
51.269531 79.279 75.3324
51.452637 79.195 0.8803
51.635742 78.983 -73.2086
51.818848 78.699 -146.3252
52.001953 78.441 141.6631
52.185059 78.280 70.1982
52.368164 78.186 -1.6089
52.551270 78.039 -74.2594
52.734375 77.720 -147.5295
52.917480 77.190 139.3073
53.100586 76.510 67.0106
53.283691 75.816 -4.1536
53.466797 75.212 -74.6961
53.649902 74.667 -145.4351
53.833008 74.032 143.4197
54.016113 73.172 72.6172
54.199219 72.086 3.4580
54.382324 70.961 -63.1008
54.565430 70.069 -127.5866
54.748535 69.493 168.1015
54.931641 69.041 102.8086
55.114746 68.533 37.1101
55.297852 67.990 -27.9674
55.480957 67.542 -92.3726
55.664062 67.203 -156.9231
55.847168 66.851 138.1374
56.030273 66.440 73.5967
56.213379 66.130 9.8703
56.396484 66.072 -54.4008
56.579590 66.095 -121.0195
56.762695 65.827 170.3067
56.945801 65.053 102.2390
57.128906 64.009 38.5622
57.312012 63.571 -19.8425
57.495117 64.240 -79.7781
57.678223 65.118 -146.3032
57.861328 65.305 143.0704
58.044434 64.489 73.2156
58.227539 62.883 10.0785
58.410645 61.814 -42.3888
58.593750 62.608 -94.7328
58.776855 63.845 -156.7000
58.959961 64.277 136.3596
59.143066 63.839 70.8374
59.326172 63.177 10.9935
59.509277 63.310 -45.1291
59.692383 64.237 -104.7645
59.875488 65.084 -169.3688
60.058594 65.450 124.4784
60.241699 65.479 60.0118
60.424805 65.585 -1.6230
60.607910 66.099 -61.8660
60.791016 66.994 -122.7492
60.974121 68.097 175.0897
61.157227 69.321 111.6690
61.340332 70.601 46.7875
61.523438 71.833 -19.6297
61.706543 72.928 -87.1755
61.889648 73.879 -155.2434
62.072754 74.748 136.4881
62.255859 75.599 67.8682
62.438965 76.437 -1.4560
62.622070 77.216 -71.6154
62.805176 77.890 -142.3955
62.988281 78.446 146.5538
63.171387 78.898 75.4593
63.354492 79.256 4.3481
63.537598 79.506 -66.8036
63.720703 79.619 -137.8522
63.903809 79.592 151.5830
64.086914 79.479 81.9356
64.270020 79.392 13.3111
64.453125 79.434 -54.7950
64.636230 79.605 -123.2217
64.819336 79.804 167.5680
65.002441 79.911 97.8347
65.185547 79.875 28.2994
65.368652 79.742 -40.3566
65.551758 79.623 -107.9599
65.734863 79.618 -175.0449
65.917969 79.734 117.5015
66.101074 79.890 49.0917
66.284180 79.991 -20.2890
66.467285 79.985 -90.2732
66.650391 79.866 -160.3978
66.833496 79.663 129.7192
67.016602 79.421 60.2808
67.199707 79.177 -8.7423
67.382812 78.937 -77.5598
67.565918 78.665 -146.3767
67.749023 78.296 144.8539
67.932129 77.785 76.5585
68.115234 77.158 9.3926
68.298340 76.546 -56.2417
68.481445 76.119 -120.8157
68.664551 75.931 174.3779
68.847656 75.860 108.3587
69.030762 75.734 41.2836
69.213867 75.485 -25.9410
69.396973 75.176 -92.5382
69.580078 74.925 -158.5047
69.763184 74.771 135.4759
69.946289 74.632 68.8758
70.129395 74.399 1.9246
70.312500 74.055 -64.6803
70.495605 73.682 -130.5096
70.678711 73.373 164.1298
70.861816 73.120 98.5749
71.044922 72.821 32.6863
71.228027 72.415 -32.9114
71.411133 71.970 -97.5089
71.594238 71.627 -161.2407
71.777344 71.426 134.8609
71.960449 71.226 70.1095
72.143555 70.865 5.0961
72.326660 70.342 -58.7874
72.509766 69.869 -120.6695
72.692871 69.693 178.5888
72.875977 69.804 117.1685
73.059082 69.977 54.5372
73.242188 70.086 -8.3236
73.425293 70.214 -70.5002
73.608398 70.505 -132.3157
73.791504 70.943 165.2029
73.974609 71.378 101.8046
74.157715 71.727 38.2750
74.340820 72.075 -24.6041
74.523926 72.582 -87.0878
74.707031 73.286 -150.3127
74.890137 74.064 144.9782
75.073242 74.775 79.0556
75.256348 75.384 12.6610
75.439453 75.943 -53.7082
75.622559 76.521 -120.0838
75.805664 77.135 173.2062
75.988770 77.744 105.9720
76.171875 78.307 38.3342
76.354980 78.814 -29.4466
76.538086 79.285 -97.2050
76.721191 79.745 -164.9529
76.904297 80.203 127.1932
77.087402 80.650 59.1380
77.270508 81.071 -9.1232
77.453613 81.458 -77.5351
77.636719 81.807 -146.0302
77.819824 82.123 145.4589
78.002930 82.415 76.9925
78.186035 82.704 8.5814
78.369141 83.013 -59.8791
78.552246 83.349 -128.5888
78.735352 83.698 162.2728
78.918457 84.031 92.6343
79.101562 84.322 22.5610
79.284668 84.557 -47.7909
79.467773 84.736 -118.2843
79.650879 84.867 171.1389
79.833984 84.949 100.4816
80.017090 84.975 29.7452
80.200195 84.934 -41.0295
80.383301 84.820 -111.7594
80.566406 84.639 177.6371
80.749512 84.398 107.1983
80.932617 84.107 36.9223
81.115723 83.768 -33.1944
81.298828 83.382 -103.1171
81.481934 82.952 -172.7743
81.665039 82.489 117.8955
81.848145 82.007 48.8920
82.031250 81.515 -19.8487
82.214355 81.005 -88.3943
82.397461 80.466 -156.7433
82.580566 79.888 135.2002
82.763672 79.276 67.5874
82.946777 78.653 0.5555
83.129883 78.059 -65.8409
83.312988 77.534 -131.6905
83.496094 77.111 162.7456
83.679199 76.791 97.0901
83.862305 76.534 31.0153
84.045410 76.279 -35.5822
84.228516 75.971 -102.5484
84.411621 75.592 -169.6187
84.594727 75.150 123.3826
84.777832 74.655 56.4723
84.960938 74.092 -10.3386
85.144043 73.429 -76.7807
85.327148 72.673 -142.2246
85.510254 71.925 153.9988
85.693359 71.377 91.8287
85.876465 71.158 30.0312
86.059570 71.191 -32.8411
86.242676 71.290 -97.1922
86.425781 71.345 -162.5497
86.608887 71.363 131.5517
86.791992 71.383 65.1078
86.975098 71.395 -2.1165
87.158203 71.340 -70.0416
87.341309 71.179 -138.1037
87.524414 70.943 154.3654
87.707520 70.711 87.6112
87.890625 70.525 21.3165
88.073730 70.346 -44.9227
88.256836 70.111 -111.1001
88.439941 69.840 -177.0467
88.623047 69.626 116.7836
88.806152 69.502 49.0933
88.989258 69.351 -21.2972
89.172363 69.010 -94.4715
89.355469 68.411 -169.4235
89.538574 67.644 115.4030
89.721680 66.951 41.2310
89.904785 66.593 -32.3135
90.087891 66.577 -107.3916
90.270996 66.600 173.8678
90.454102 66.355 90.4450
90.637207 65.835 1.9799
90.820312 65.432 -90.5994
91.003418 65.640 176.9290
91.186523 66.444 90.0445
91.369629 67.524 10.4846
91.552734 68.733 -63.6561
91.735840 69.991 -135.3010
91.918945 71.159 153.5584
92.102051 72.122 82.3382
92.285156 72.866 11.1904
92.468262 73.455 -59.7221
92.651367 73.958 -130.5031
92.834473 74.400 158.6331
93.017578 74.763 87.6586
93.200684 75.024 16.8216
93.383789 75.196 -53.5387
93.566895 75.321 -123.2498
93.750000 75.446 167.5861
93.933105 75.590 98.7155
94.116211 75.749 29.9340
94.299316 75.914 -38.8518
94.482422 76.080 -107.7114
94.665527 76.234 -176.7531
94.848633 76.340 113.9663
95.031738 76.351 44.5991
95.214844 76.245 -24.4784
95.397949 76.052 -92.8703
95.581055 75.838 -160.4386
95.764160 75.665 132.5971
95.947266 75.552 65.8810
96.130371 75.489 -0.7683
96.313477 75.479 -67.3589
96.496582 75.552 -134.0326
96.679688 75.708 158.7934
96.862793 75.882 90.7437
97.045898 75.977 21.8807
97.229004 75.927 -47.2900
97.412109 75.740 -116.1527
97.595215 75.486 175.6150
97.778320 75.236 107.8271
97.961426 74.992 40.0387
98.144531 74.686 -27.8884
98.327637 74.264 -95.5153
98.510742 73.756 -162.1447
98.693848 73.291 132.4936
98.876953 72.988 67.7582
99.060059 72.825 2.5772
99.243164 72.659 -63.4780
99.426270 72.373 -129.8949
99.609375 71.970 164.1753
99.792480 71.557 99.1509
99.975586 71.236 34.6684
100.158691 71.005 -29.9564
100.341797 70.772 -94.9222
100.524902 70.474 -159.7785
100.708008 70.135 136.0652
100.891113 69.839 72.8032
101.074219 69.648 10.1590
101.257324 69.576 -52.2391
101.440430 69.611 -114.5915
101.623535 69.757 -177.0584
101.806641 70.002 120.1258
101.989746 70.309 56.8411
102.172852 70.650 -6.7740
102.355957 71.040 -70.5580
102.539062 71.514 -134.6779
102.722168 72.058 160.4133
102.905273 72.594 94.4381
103.088379 73.034 27.5973
103.271484 73.346 -39.5924
