* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
75.073242 -0.896 18.3324
75.439453 -0.907 18.2489
75.805664 -0.918 18.1365
76.171875 -0.929 17.9845
76.538086 -0.942 17.7840
76.904297 -0.959 17.5275
77.270508 -0.984 17.2062
77.636719 -1.021 16.8439
78.002930 -1.071 16.4542
78.369141 -1.135 16.0609
78.735352 -1.211 15.6662
79.101562 -1.304 15.2719
79.467773 -1.415 14.9044
79.833984 -1.549 14.6103
80.200195 -1.698 14.4533
80.566406 -1.858 14.4563
80.932617 -2.018 14.6168
81.298828 -2.175 14.9242
81.665039 -2.324 15.3441
82.031250 -2.463 15.8619
82.397461 -2.593 16.4572
82.763672 -2.713 17.1160
83.129883 -2.822 17.8272
83.496094 -2.920 18.5803
83.862305 -3.009 19.3670
84.228516 -3.087 20.1794
84.594727 -3.155 21.0112
84.960938 -3.214 21.8562
85.327148 -3.263 22.7090
85.693359 -3.304 23.5643
86.059570 -3.335 24.4168
86.425781 -3.358 25.2627
86.791992 -3.373 26.0969
87.158203 -3.379 26.9164
87.524414 -3.379 27.7177
87.890625 -3.372 28.4971
88.256836 -3.358 29.2524
88.623047 -3.338 29.9795
88.989258 -3.312 30.6775
89.355469 -3.281 31.3430
89.721680 -3.245 31.9751
90.087891 -3.206 32.5719
90.454102 -3.162 33.1313
90.820312 -3.115 33.6532
91.186523 -3.066 34.1342
91.552734 -3.014 34.5757
91.918945 -2.960 34.9747
92.285156 -2.906 35.3327
92.651367 -2.850 35.6481
93.017578 -2.795 35.9217
93.383789 -2.739 36.1536
93.750000 -2.685 36.3435
94.116211 -2.632 36.4938
94.482422 -2.581 36.6036
94.848633 -2.533 36.6768
95.214844 -2.488 36.7130
95.581055 -2.446 36.7168
95.947266 -2.409 36.6881
96.313477 -2.375 36.6320
96.679688 -2.347 36.5490
97.045898 -2.323 36.4445
97.412109 -2.305 36.3202
97.778320 -2.292 36.1812
98.144531 -2.285 36.0304
98.510742 -2.284 35.8723
98.876953 -2.288 35.7103
99.243164 -2.299 35.5486
99.609375 -2.315 35.3903
99.975586 -2.336 35.2396
100.341797 -2.363 35.0994
100.708008 -2.395 34.9735
101.074219 -2.431 34.8642
101.440430 -2.472 34.7745
101.806641 -2.516 34.7061
102.172852 -2.565 34.6610
102.539062 -2.616 34.6402
102.905273 -2.669 34.6451
103.271484 -2.725 34.6763
103.637695 -2.783 34.7342
104.003906 -2.842 34.8191
104.370117 -2.902 34.9303
104.736328 -2.962 35.0681
105.102539 -3.023 35.2308
105.468750 -3.084 35.4185
105.834961 -3.144 35.6289
106.201172 -3.203 35.8623
106.567383 -3.262 36.1161
106.933594 -3.320 36.3903
107.299805 -3.377 36.6824
107.666016 -3.432 36.9922
108.032227 -3.485 37.3172
108.398438 -3.537 37.6569
108.764648 -3.588 38.0093
109.130859 -3.637 38.3734
109.497070 -3.684 38.7480
109.863281 -3.729 39.1319
110.229492 -3.773 39.5241
110.595703 -3.815 39.9233
110.961914 -3.855 40.3286
111.328125 -3.894 40.7386
111.694336 -3.931 41.1524
112.060547 -3.966 41.5696
112.426758 -4.001 41.9888
112.792969 -4.034 42.4108
113.159180 -4.066 42.8355
113.525391 -4.098 43.2631
113.891602 -4.128 43.6950
114.257812 -4.157 44.1308
114.624023 -4.185 44.5708
114.990234 -4.212 45.0150
115.356445 -4.238 45.4622
115.722656 -4.263 45.9124
116.088867 -4.286 46.3646
116.455078 -4.307 46.8184
116.821289 -4.328 47.2731
117.187500 -4.347 47.7282
117.553711 -4.365 48.1834
117.919922 -4.382 48.6380
118.286133 -4.398 49.0918
118.652344 -4.412 49.5446
119.018555 -4.426 49.9958
119.384766 -4.438 50.4455
119.750977 -4.450 50.8931
120.117188 -4.460 51.3386
120.483398 -4.470 51.7818
120.849609 -4.479 52.2225
121.215820 -4.487 52.6607
121.582031 -4.494 53.0960
121.948242 -4.500 53.5286
122.314453 -4.506 53.9581
122.680664 -4.511 54.3845
123.046875 -4.516 54.8079
123.413086 -4.520 55.2280
123.779297 -4.524 55.6450
124.145508 -4.527 56.0586
124.511719 -4.529 56.4689
124.877930 -4.532 56.8761
125.244141 -4.534 57.2798
125.610352 -4.535 57.6804
125.976562 -4.537 58.0776
126.342773 -4.538 58.4715
126.708984 -4.538 58.8623
127.075195 -4.539 59.2499
127.441406 -4.540 59.6345
127.807617 -4.540 60.0159
128.173828 -4.541 60.3945
128.540039 -4.541 60.7705
128.906250 -4.541 61.1436
129.272461 -4.542 61.5146
129.638672 -4.543 61.8830
130.004883 -4.543 62.2494
