* Generated by rew_pipeline.py (source UUID 186deba0-cbab-4d36-ad78-2cb4c056a7bc, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:17
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw6-peq B = FLX-trimmed.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
46.691895 73.362 -163.6703
46.875000 74.632 131.0775
47.058105 75.642 63.9470
47.241211 76.369 -3.9471
47.424316 76.910 -71.9132
47.607422 77.395 -139.9092
47.790527 77.898 151.6362
47.973633 78.395 82.4024
48.156738 78.816 12.6293
48.339844 79.120 -56.9732
48.522949 79.344 -125.6972
48.706055 79.586 166.6370
48.889160 79.918 99.4778
49.072266 80.321 31.9987
49.255371 80.704 -36.1857
49.438477 81.006 -104.8383
49.621582 81.253 -173.5016
49.804688 81.537 117.9818
49.987793 81.936 49.2544
50.170898 82.438 -20.2356
50.354004 82.954 -90.7121
50.537109 83.383 -161.9243
50.720215 83.674 126.6057
50.903320 83.826 55.2741
51.086426 83.872 -15.7793
51.269531 83.845 -86.6608
51.452637 83.756 -157.5600
51.635742 83.601 131.4396
51.818848 83.376 60.4311
52.001953 83.090 -10.3891
52.185059 82.765 -80.8453
52.368164 82.420 -150.8533
52.551270 82.064 139.5999
52.734375 81.696 70.5041
52.917480 81.321 1.8198
53.100586 80.943 -66.5714
53.283691 80.556 -134.8405
53.466797 80.134 156.9475
53.649902 79.653 88.9980
53.833008 79.134 21.7374
54.016113 78.667 -44.5454
54.199219 78.362 -110.1666
54.382324 78.250 -176.0280
54.565430 78.226 117.1421
54.748535 78.146 49.4188
54.931641 77.937 -18.4917
55.114746 77.643 -85.8737
55.297852 77.381 -152.6034
55.480957 77.227 140.7032
55.664062 77.139 73.3097
55.847168 76.998 5.1314
56.030273 76.726 -63.1946
56.213379 76.356 -130.8443
56.396484 76.013 162.5122
56.579590 75.814 96.3385
56.762695 75.753 29.6926
56.945801 75.715 -37.8442
57.128906 75.598 -105.8758
57.312012 75.397 -173.6564
57.495117 75.197 119.2846
57.678223 75.096 52.7834
57.861328 75.123 -13.7642
58.044434 75.223 -80.8225
58.227539 75.319 -148.4118
58.410645 75.376 143.6974
58.593750 75.400 75.6719
58.776855 75.408 7.5071
58.959961 75.406 -60.8607
59.143066 75.389 -129.4099
59.326172 75.362 161.9750
59.509277 75.342 93.3942
59.692383 75.348 24.8462
59.875488 75.385 -43.7409
60.058594 75.449 -112.4226
60.241699 75.539 178.7810
60.424805 75.667 109.8093
60.607910 75.842 40.5103
60.791016 76.057 -29.2832
60.974121 76.282 -99.6048
61.157227 76.495 -170.2978
61.340332 76.691 118.8754
61.523438 76.891 48.0406
61.706543 77.113 -22.9083
61.889648 77.348 -94.2330
62.072754 77.556 -166.1277
62.255859 77.688 121.4545
62.438965 77.717 48.7954
62.622070 77.657 -23.7420
62.805176 77.553 -95.9178
62.988281 77.454 -167.7574
63.171387 77.380 120.4878
63.354492 77.301 48.5723
63.537598 77.165 -23.5144
63.720703 76.943 -95.5143
63.903809 76.657 -167.0723
64.086914 76.379 121.9963
64.270020 76.188 51.5115
64.453125 76.113 -18.9715
64.636230 76.106 -89.7746
64.819336 76.087 -160.8048
65.002441 76.004 128.3649
65.185547 75.869 58.1609
65.368652 75.744 -11.3461
65.551758 75.687 -80.5749
65.734863 75.703 -150.1679
65.917969 75.742 139.4786
66.101074 75.750 68.4234
66.284180 75.714 -2.9955
66.467285 75.654 -74.4759
66.650391 75.592 -145.9518
66.833496 75.511 142.4494
67.016602 75.354 70.6312
67.199707 75.051 -1.2872
67.382812 74.561 -72.9707
67.565918 73.899 -144.0257
67.749023 73.132 145.7789
67.932129 72.341 76.3634
68.115234 71.563 7.4681
68.298340 70.770 -60.9283
68.481445 69.926 -128.2920
68.664551 69.078 166.2564
68.847656 68.407 103.0689
69.030762 68.101 40.9854
69.213867 68.121 -22.0919
69.396973 68.209 -87.2585
69.580078 68.145 -154.0771
69.763184 67.875 138.5307
69.946289 67.497 71.4647
70.129395 67.176 4.9842
70.312500 67.039 -61.3647
70.495605 67.082 -128.2715
70.678711 67.197 163.9519
70.861816 67.255 95.5038
71.044922 67.163 26.8410
71.228027 66.889 -41.5794
71.411133 66.461 -109.4741
71.594238 65.947 -176.8841
71.777344 65.422 115.7646
71.960449 64.907 47.8881
72.143555 64.362 -20.7802
72.326660 63.737 -89.8978
72.509766 63.032 -158.7085
72.692871 62.327 133.3272
72.875977 61.720 65.8268
73.059082 61.190 -2.5176
73.242188 60.552 -72.9785
73.425293 59.585 -146.1087
73.608398 58.188 137.9160
73.791504 56.501 58.5611
73.974609 55.027 -25.2674
74.157715 54.568 -113.4409
74.340820 55.499 157.5103
74.523926 57.266 70.8347
74.707031 59.169 -13.1044
74.890137 60.865 -94.6587
75.073242 62.272 -173.7256
75.256348 63.431 109.9950
75.439453 64.434 36.5152
75.622559 65.374 -34.6992
75.805664 66.292 -104.5665
75.988770 67.165 -173.9205
76.171875 67.948 116.8003
76.354980 68.621 47.4861
76.538086 69.187 -21.8235
76.721191 69.658 -90.9862
76.904297 70.053 -159.7356
77.087402 70.410 132.2602
77.270508 70.797 65.1702
77.453613 71.287 -1.2951
77.636719 71.891 -67.8426
77.819824 72.530 -135.0752
78.002930 73.096 156.9483
78.186035 73.524 88.6666
78.369141 73.830 20.6839
78.552246 74.093 -46.5788
78.735352 74.415 -113.0884
78.918457 74.863 -179.1386
79.101562 75.459 114.8860
79.284668 76.188 48.6533
79.467773 77.017 -18.1389
79.650879 77.894 -85.7714
79.833984 78.751 -154.3897
80.017090 79.522 136.0876
80.200195 80.169 65.9277
80.383301 80.692 -4.5353
80.566406 81.126 -75.0730
80.749512 81.510 -145.6643
80.932617 81.859 143.5906
81.115723 82.162 72.6189
81.298828 82.394 1.4709
81.481934 82.532 -69.6616
81.665039 82.581 -140.5381
81.848145 82.566 148.9834
82.031250 82.523 78.8705
82.214355 82.471 8.9581
82.397461 82.406 -60.9193
82.580566 82.307 -130.7969
82.763672 82.158 159.4422
82.946777 81.958 89.9742
83.129883 81.725 20.9080
83.312988 81.476 -47.7789
83.496094 81.219 -116.2032
83.679199 80.943 175.5336
83.862305 80.636 107.4286
84.045410 80.296 39.5744
84.228516 79.936 -27.9122
84.411621 79.581 -94.9608
84.594727 79.256 -161.5699
84.777832 78.977 132.2202
84.960938 78.754 66.3536
85.144043 78.592 0.7519
85.327148 78.494 -64.7041
85.510254 78.454 -130.1594
85.693359 78.463 164.2588
85.876465 78.514 98.4651
86.059570 78.604 32.3969
86.242676 78.731 -34.0146
86.425781 78.886 -100.8294
86.608887 79.046 -168.0406
86.791992 79.188 124.4638
86.975098 79.293 56.8669
87.158203 79.360 -10.6661
87.341309 79.397 -78.0743
87.524414 79.412 -145.4230
87.707520 79.403 147.1635
87.890625 79.360 79.6087
88.073730 79.280 11.9380
88.256836 79.178 -55.7663
88.439941 79.081 -123.4635
88.623047 79.017 168.7822
88.806152 78.987 100.8490
88.989258 78.963 32.6910
89.172363 78.903 -35.5579
89.355469 78.779 -103.6078
89.538574 78.596 -171.1496
89.721680 78.391 121.9696
89.904785 78.215 55.6330
90.087891 78.101 -10.5059
90.270996 78.049 -76.8294
90.454102 78.041 -143.5745
90.637207 78.057 149.1858
90.820312 78.087 81.4493
91.003418 78.118 13.2226
91.186523 78.124 -55.4490
91.369629 78.076 -124.4261
91.552734 77.952 166.5175
91.735840 77.753 97.6029
91.918945 77.498 28.9155
92.102051 77.207 -39.6678
92.285156 76.875 -108.3955
92.468262 76.464 -177.4266
92.651367 75.922 113.3525
92.834473 75.219 44.3542
93.017578 74.372 -23.8421
93.200684 73.456 -90.7482
