* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
75.073242 -1.716 18.6852
75.439453 -1.782 18.9348
75.805664 -1.847 19.2025
76.171875 -1.911 19.4813
76.538086 -1.974 19.7639
76.904297 -2.040 20.0468
77.270508 -2.110 20.3273
77.636719 -2.187 20.6355
78.002930 -2.273 20.9944
78.369141 -2.363 21.4506
78.735352 -2.453 22.0021
79.101562 -2.537 22.6576
79.467773 -2.612 23.3954
79.833984 -2.676 24.1980
80.200195 -2.728 25.0521
80.566406 -2.767 25.9415
80.932617 -2.793 26.8545
81.298828 -2.807 27.7801
81.665039 -2.807 28.7077
82.031250 -2.794 29.6280
82.397461 -2.769 30.5316
82.763672 -2.731 31.4098
83.129883 -2.682 32.2531
83.496094 -2.620 33.0526
83.862305 -2.548 33.8001
84.228516 -2.466 34.4849
84.594727 -2.374 35.1007
84.960938 -2.274 35.6361
85.327148 -2.166 36.0808
85.693359 -2.053 36.4270
86.059570 -1.937 36.6539
86.425781 -1.820 36.7645
86.791992 -1.709 36.7386
87.158203 -1.607 36.6024
87.524414 -1.520 36.3685
87.890625 -1.450 36.0950
88.256836 -1.395 35.8043
88.623047 -1.352 35.5419
88.989258 -1.316 35.2962
89.355469 -1.284 35.0780
89.721680 -1.254 34.8685
90.087891 -1.225 34.6642
90.454102 -1.198 34.4550
90.820312 -1.171 34.2366
91.186523 -1.146 34.0039
91.552734 -1.121 33.7541
91.918945 -1.098 33.4833
92.285156 -1.076 33.1889
92.651367 -1.056 32.8670
93.017578 -1.037 32.5123
93.383789 -1.020 32.1208
93.750000 -1.006 31.6799
94.116211 -0.997 31.1892
94.482422 -0.993 30.6257
94.848633 -1.000 30.0055
95.214844 -1.020 29.3115
95.581055 -1.059 28.5881
95.947266 -1.117 27.8549
96.313477 -1.196 27.1526
96.679688 -1.290 26.5200
97.045898 -1.399 25.9577
97.412109 -1.517 25.4876
97.778320 -1.641 25.0922
98.144531 -1.770 24.7770
98.510742 -1.902 24.5285
98.876953 -2.036 24.3460
99.243164 -2.172 24.2221
99.609375 -2.308 24.1550
99.975586 -2.446 24.1404
100.341797 -2.583 24.1764
100.708008 -2.721 24.2604
101.074219 -2.858 24.3905
101.440430 -2.994 24.5649
101.806641 -3.130 24.7817
102.172852 -3.265 25.0395
102.539062 -3.398 25.3366
102.905273 -3.530 25.6719
103.271484 -3.660 26.0440
103.637695 -3.789 26.4518
104.003906 -3.916 26.8944
104.370117 -4.041 27.3704
104.736328 -4.164 27.8792
105.102539 -4.284 28.4192
105.468750 -4.402 28.9898
105.834961 -4.517 29.5896
106.201172 -4.630 30.2182
106.567383 -4.740 30.8741
106.933594 -4.846 31.5571
107.299805 -4.950 32.2653
107.666016 -5.051 32.9990
108.032227 -5.148 33.7557
108.398438 -5.242 34.5357
108.764648 -5.332 35.3369
109.130859 -5.419 36.1591
109.497070 -5.502 37.0006
109.863281 -5.582 37.8612
110.229492 -5.657 38.7392
110.595703 -5.729 39.6342
110.961914 -5.796 40.5451
111.328125 -5.859 41.4708
111.694336 -5.918 42.4109
112.060547 -5.973 43.3631
112.426758 -6.023 44.3278
112.792969 -6.068 45.3014
113.159180 -6.109 46.2830
113.525391 -6.145 47.2700
113.891602 -6.176 48.2591
114.257812 -6.202 49.2494
114.624023 -6.224 50.2387
114.990234 -6.241 51.2256
115.356445 -6.255 52.2100
115.722656 -6.264 53.1901
116.088867 -6.269 54.1661
116.455078 -6.271 55.1367
116.821289 -6.268 56.1015
117.187500 -6.262 57.0596
117.553711 -6.253 58.0102
117.919922 -6.240 58.9528
118.286133 -6.223 59.8862
118.652344 -6.203 60.8103
119.018555 -6.180 61.7238
119.384766 -6.153 62.6265
119.750977 -6.124 63.5175
120.117188 -6.091 64.3963
120.483398 -6.056 65.2624
120.849609 -6.018 66.1148
121.215820 -5.977 66.9539
121.582031 -5.934 67.7780
121.948242 -5.889 68.5877
122.314453 -5.841 69.3819
122.680664 -5.790 70.1603
123.046875 -5.738 70.9231
123.413086 -5.684 71.6690
123.779297 -5.628 72.3988
124.145508 -5.571 73.1117
