* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:32:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.3 dB
* Note: ; Copy of RMS Average 1
* Measurement: LR.RMS
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB)
123.413086 78.228
123.779297 78.133
124.145508 78.039
124.511719 77.949
124.877930 77.855
125.244141 77.762
125.610352 77.671
125.976562 77.578
126.342773 77.489
126.708984 77.400
127.075195 77.308
127.441406 77.219
127.807617 77.129
128.173828 77.041
128.540039 76.956
128.906250 76.867
129.272461 76.781
129.638672 76.697
130.004883 76.613
130.371094 76.535
130.737305 76.457
131.103516 76.380
131.469727 76.309
131.835938 76.239
132.202148 76.175
132.568359 76.117
132.934570 76.059
133.300781 76.008
133.666992 75.962
134.033203 75.920
134.399414 75.887
134.765625 75.857
135.131836 75.830
135.498047 75.810
135.864258 75.792
136.230469 75.781
136.596680 75.776
136.962891 75.769
137.329102 75.768
137.695312 75.768
138.061523 75.770
138.427734 75.776
138.793945 75.780
139.160156 75.783
139.526367 75.789
139.892578 75.790
140.258789 75.793
140.625000 75.796
140.991211 75.793
141.357422 75.790
141.723633 75.784
142.089844 75.775
142.456055 75.768
142.822266 75.754
143.188477 75.739
143.554688 75.723
143.920898 75.702
144.287109 75.683
144.653320 75.664
145.019531 75.640
145.385742 75.618
145.751953 75.594
146.118164 75.571
146.484375 75.551
146.850586 75.529
147.216797 75.509
147.583008 75.491
147.949219 75.472
148.315430 75.459
148.681641 75.448
149.047852 75.437
149.414062 75.430
149.780273 75.424
150.146484 75.421
150.512695 75.423
150.878906 75.423
151.245117 75.425
151.611328 75.430
151.977539 75.434
152.343750 75.443
152.709961 75.451
153.076172 75.457
153.442383 75.465
153.808594 75.470
154.174805 75.477
154.541016 75.485
154.907227 75.487
155.273438 75.489
155.639648 75.489
156.005859 75.485
156.372070 75.483
156.738281 75.476
157.104492 75.464
157.470703 75.450
157.836914 75.430
158.203125 75.409
158.569336 75.385
158.935547 75.354
159.301758 75.320
159.667969 75.281
160.034180 75.236
160.400391 75.190
160.766602 75.137
161.132812 75.079
161.499023 75.018
161.865234 74.949
162.231445 74.878
162.597656 74.804
162.963867 74.721
163.330078 74.636
163.696289 74.545
164.062500 74.448
164.428711 74.352
164.794922 74.247
165.161133 74.139
165.527344 74.027
165.893555 73.908
166.259766 73.790
166.625977 73.667
166.992188 73.538
167.358398 73.408
167.724609 73.272
168.090820 73.133
168.457031 72.996
168.823242 72.851
169.189453 72.704
169.555664 72.555
169.921875 72.401
170.288086 72.250
170.654297 72.095
171.020508 71.935
171.386719 71.777
171.752930 71.614
172.119141 71.450
172.485352 71.289
172.851562 71.122
173.217773 70.955
173.583984 70.787
173.950195 70.615
174.316406 70.447
174.682617 70.277
175.048828 70.103
175.415039 69.932
175.781250 69.755
176.147461 69.580
176.513672 69.410
176.879883 69.232
177.246094 69.058
177.612305 68.883
177.978516 68.705
178.344727 68.537
178.710938 68.367
179.077148 68.199
179.443359 68.037
179.809570 67.875
180.175781 67.725
180.541992 67.587
180.908203 67.451
181.274414 67.332
181.640625 67.225
182.006836 67.131
182.373047 67.065
182.739258 67.014
183.105469 66.983
183.471680 66.980
183.837891 66.994
184.204102 67.040
184.570312 67.114
184.936523 67.206
185.302734 67.326
185.668945 67.464
186.035156 67.623
186.401367 67.807
186.767578 68.000
187.133789 68.209
187.500000 68.431
187.866211 68.655
188.232422 68.892
188.598633 69.136
188.964844 69.378
189.331055 69.625
189.697266 69.867
190.063477 70.110
190.429688 70.356
190.795898 70.593
191.162109 70.828
191.528320 71.059
191.894531 71.282
192.260742 71.504
192.626953 71.720
192.993164 71.927
193.359375 72.132
193.725586 72.327
194.091797 72.517
194.458008 72.705
194.824219 72.883
195.190430 73.057
195.556641 73.224
195.922852 73.383
196.289062 73.541
196.655273 73.691
197.021484 73.835
197.387695 73.975
197.753906 74.106
198.120117 74.234
198.486328 74.359
198.852539 74.475
199.218750 74.588
199.584961 74.696
199.951172 74.796
200.317383 74.895
200.683594 74.989
201.049805 75.076
201.416016 75.160
201.782227 75.237
202.148438 75.312
202.514648 75.383
202.880859 75.447
203.247070 75.509
203.613281 75.565
203.979492 75.616
204.345703 75.666
204.711914 75.710
205.078125 75.750
205.444336 75.787
205.810547 75.818
206.176758 75.847
206.542969 75.873
206.909180 75.893
207.275391 75.912
207.641602 75.926
208.007812 75.936
208.374023 75.946
208.740234 75.951
209.106445 75.952
209.472656 75.952
209.838867 75.947
210.205078 75.941
210.571289 75.933
210.937500 75.921
211.303711 75.908
211.669922 75.891
212.036133 75.872
212.402344 75.853
212.768555 75.830
213.134766 75.805
213.500977 75.779
213.867188 75.749
214.233398 75.720
214.599609 75.688
214.965820 75.654
215.332031 75.620
215.698242 75.581
216.064453 75.542
216.430664 75.504
216.796875 75.461
217.163086 75.419
217.529297 75.374
217.895508 75.327
218.261719 75.280
218.627930 75.232
218.994141 75.181
219.360352 75.130
219.726562 75.075
220.092773 75.020
220.458984 74.966
220.825195 74.908
221.191406 74.849
221.557617 74.789
221.923828 74.725
222.290039 74.663
222.656250 74.599
223.022461 74.532
223.388672 74.466
223.754883 74.394
224.121094 74.324
224.487305 74.253
224.853516 74.178
225.219727 74.104
225.585938 74.026
225.952148 73.946
226.318359 73.868
226.684570 73.786
